Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
01.01.;aufsteigend;1;3;24;33;39;40;ZZ;35;6er;4JP;;       3.918.649,40;5er + ZZ;               1;à;         184.574,00;5er;             149;à;           1.351,30;4er + ZZ;             315;à;             191,70;
01.01.;;;;;;;;;;4er;           6.807;à;              49,30;3er + ZZ;           8.638;à;              17,40;3er;         115.803;à;               5,20;ZZ;         334.314;à;               1,20;
04.01.;aufsteigend;3;5;10;17;35;41;ZZ;22;6er;5JP;;       5.200.611,60;5er + ZZ;               5;à;          35.253,90;5er;             158;à;           1.217,00;4er + ZZ;             430;à;             134,10;
04.01.;;;;;;;;;;4er;           7.244;à;              44,20;3er + ZZ;          10.301;à;              14,00;3er;         121.666;à;               4,70;ZZ;         334.962;à;               1,20;
08.01.;aufsteigend;4;6;19;25;39;42;ZZ;17;6er;               1;à;       6.694.017,00;5er + ZZ;               5;à;          41.068,60;5er;             177;à;           1.265,50;4er + ZZ;             495;à;             135,70;
08.01.;;;;;;;;;;4er;           7.904;à;              47,20;3er + ZZ;          11.057;à;              15,10;3er;         129.612;à;               5,20;ZZ;         410.028;à;               1,20;
11.01.;aufsteigend;3;13;25;26;27;40;ZZ;31;6er;JP;;         667.480,40;5er + ZZ;               1;à;          91.778,50;5er;              66;à;           1.517,00;4er + ZZ;             198;à;             151,70;
11.01.;;;;;;;;;;4er;           3.755;à;              44,40;3er + ZZ;           4.723;à;              15,80;3er;          62.486;à;               4,80;ZZ;         156.886;à;               1,20;
13.01.;aufsteigend;9;11;17;28;34;45;ZZ;43;6er;DJP;;       1.412.022,10;5er + ZZ;               3;à;          34.124,80;5er;             103;à;           1.084,20;4er + ZZ;             225;à;             148,90;
13.01.;;;;;;;;;;4er;           4.409;à;              42,20;3er + ZZ;           5.514;à;              15,10;3er;          69.820;à;               4,80;ZZ;         178.915;à;               1,20;
15.01.;aufsteigend;28;31;32;37;42;45;ZZ;16;6er;3JP;;       2.194.746,30;5er + ZZ;               3;à;          35.874,80;5er;              83;à;           1.414,50;4er + ZZ;             207;à;             170,10;
15.01.;;;;;;;;;;4er;           3.611;à;              54,10;3er + ZZ;           5.155;à;              17,00;3er;          59.296;à;               5,90;ZZ;         213.770;à;               1,20;
18.01.;aufsteigend;1;11;12;15;27;38;ZZ;3;6er;4JP;;       3.191.370,00;5er + ZZ;               2;à;          68.517,80;5er;             114;à;           1.311,30;4er + ZZ;             407;à;             110,10;
18.01.;;;;;;;;;;4er;           5.667;à;              43,90;3er + ZZ;           9.158;à;              12,20;3er;          90.603;à;               4,90;ZZ;         277.657;à;               1,20;
22.01.;aufsteigend;4;12;24;32;36;38;ZZ;21;6er;               2;à;       2.224.097,90;5er + ZZ;               5;à;          34.562,70;5er;             161;à;           1.170,90;4er + ZZ;             377;à;             150,00;
22.01.;;;;;;;;;;4er;           6.590;à;              47,60;3er + ZZ;           9.145;à;              15,40;3er;         108.178;à;               5,20;ZZ;         347.278;à;               1,20;
25.01.;aufsteigend;6;38;39;41;42;43;ZZ;15;6er;JP;;         635.657,70;5er + ZZ;               1;à;          87.402,90;5er;              84;à;           1.135,10;4er + ZZ;             152;à;             188,10;
25.01.;;;;;;;;;;4er;           3.258;à;              48,70;3er + ZZ;           4.002;à;              17,80;3er;          51.252;à;               5,60;ZZ;         171.471;à;               1,20;
29.01.;aufsteigend;14;25;34;36;38;42;ZZ;7;6er;               1;à;       1.510.288,30;5er + ZZ;               1;à;         120.261,70;5er;              88;à;           1.490,80;4er + ZZ;             228;à;             172,60;
29.01.;;;;;;;;;;4er;           4.329;à;              50,50;3er + ZZ;           6.098;à;              16,10;3er;          69.206;à;               5,70;ZZ;         284.718;à;               1,20;
01.02.;aufsteigend;8;10;17;22;35;37;ZZ;12;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          44.269,40;5er;              79;à;           1.222,60;4er + ZZ;             205;à;             141,30;
01.02.;;;;;;;;;;4er;           3.574;à;              45,00;3er + ZZ;           5.260;à;              13,70;3er;          57.890;à;               5,00;ZZ;         182.326;à;               1,20;
05.02.;aufsteigend;9;12;24;26;31;33;ZZ;30;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;         101.457,30;5er;              79;à;           1.401,00;4er + ZZ;             206;à;             161,10;
05.02.;;;;;;;;;;4er;           4.256;à;              43,30;3er + ZZ;           5.285;à;              15,70;3er;          68.243;à;               4,80;ZZ;         183.725;à;               1,20;
08.02.;aufsteigend;2;6;16;21;24;37;ZZ;42;6er;JP;;         629.389,50;5er + ZZ;               2;à;          43.270,50;5er;              64;à;           1.475,10;4er + ZZ;             185;à;             153,00;
08.02.;;;;;;;;;;4er;           3.278;à;              48,00;3er + ZZ;           4.421;à;              16,00;3er;          55.554;à;               5,10;ZZ;         154.003;à;               1,20;
10.02.;aufsteigend;4;5;35;41;43;45;ZZ;1;6er;DJP;;       1.288.038,20;5er + ZZ;JP;;          90.564,10;5er;              65;à;           1.519,90;4er + ZZ;             182;à;             162,80;
10.02.;;;;;;;;;;4er;           3.112;à;              52,90;3er + ZZ;           4.500;à;              16,40;3er;          54.033;à;               5,50;ZZ;         176.182;à;               1,20;
12.02.;aufsteigend;23;24;31;38;41;45;ZZ;15;6er;3JP;;       2.017.087,70;5er + ZZ;               1;à;         190.808,50;5er;              81;à;           1.350,00;4er + ZZ;             179;à;             183,20;
12.02.;;;;;;;;;;4er;           3.258;à;              55,90;3er + ZZ;           4.735;à;              17,30;3er;          54.916;à;               6,00;ZZ;         196.302;à;               1,20;
15.02.;aufsteigend;5;9;18;22;28;33;ZZ;24;6er;4JP;;       2.987.768,40;5er + ZZ;               1;à;         133.468,50;5er;             139;à;           1.047,40;4er + ZZ;             313;à;             139,50;
15.02.;;;;;;;;;;4er;           6.186;à;              39,20;3er + ZZ;           7.454;à;              14,60;3er;          94.612;à;               4,60;ZZ;         243.777;à;               1,20;
19.02.;aufsteigend;14;17;27;32;37;43;ZZ;15;6er;5JP;;       4.241.114,90;5er + ZZ;               2;à;          86.167,50;5er;             171;à;           1.099,40;4er + ZZ;             358;à;             157,50;
19.02.;;;;;;;;;;4er;           8.161;à;              38,30;3er + ZZ;           8.286;à;              17,00;3er;         112.669;à;               5,00;ZZ;         334.847;à;               1,20;
22.02.;aufsteigend;2;10;14;32;35;43;ZZ;20;6er;               1;à;       5.554.906,90;5er + ZZ;               4;à;          45.161,50;5er;             159;à;           1.239,40;4er + ZZ;             366;à;             161,50;
