Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
22.02.;;;;;;;;;;4er;           7.108;à;              46,20;3er + ZZ;           9.515;à;              15,50;3er;         111.398;à;               5,30;ZZ;         344.348;à;               1,20;
26.02.;aufsteigend;2;5;16;19;26;29;ZZ;4;6er;JP;;         730.099,10;5er + ZZ;               8;à;          12.548,50;5er;             117;à;             936,00;4er + ZZ;             293;à;             112,10;
26.02.;;;;;;;;;;4er;           4.872;à;              37,40;3er + ZZ;           6.872;à;              11,90;3er;          72.392;à;               4,50;ZZ;         194.438;à;               1,20;
01.03.;aufsteigend;2;3;7;26;27;31;ZZ;32;6er;DJP;;       1.508.319,60;5er + ZZ;               2;à;          53.502,60;5er;             123;à;             949,00;4er + ZZ;             228;à;             153,50;
01.03.;;;;;;;;;;4er;           5.280;à;              36,80;3er + ZZ;           5.138;à;              17,00;3er;          80.328;à;               4,30;ZZ;         193.479;à;               1,20;
05.03.;aufsteigend;11;14;17;23;32;44;ZZ;24;6er;3JP;;       2.509.936,40;5er + ZZ;               4;à;          34.430,50;5er;             130;à;           1.155,70;4er + ZZ;             277;à;             162,70;
05.03.;;;;;;;;;;4er;           5.966;à;              41,90;3er + ZZ;           7.122;à;              15,80;3er;          90.741;à;               4,90;ZZ;         259.794;à;               1,20;
08.03.;aufsteigend;3;10;20;37;43;44;ZZ;4;6er;4JP;;       3.537.465,50;5er + ZZ;               3;à;          47.095,00;5er;             119;à;           1.295,20;4er + ZZ;             255;à;             181,30;
08.03.;;;;;;;;;;4er;           5.328;à;              48,20;3er + ZZ;           7.052;à;              16,30;3er;          87.881;à;               5,20;ZZ;         290.682;à;               1,20;
10.03.;aufsteigend;5;11;19;27;32;42;ZZ;9;6er;5JP;;       4.487.186,90;5er + ZZ;               5;à;          26.117,30;5er;             131;à;           1.087,40;4er + ZZ;             370;à;             115,50;
10.03.;;;;;;;;;;4er;           5.878;à;              40,30;3er + ZZ;           8.459;à;              12,60;3er;          89.186;à;               4,80;ZZ;         261.595;à;               1,20;
12.03.;aufsteigend;5;11;20;22;29;34;ZZ;4;6er;6JP;;       5.525.145,30;5er + ZZ;               1;à;         142.719,20;5er;             144;à;           1.081,20;4er + ZZ;             350;à;             133,40;
12.03.;;;;;;;;;;4er;           6.070;à;              42,70;3er + ZZ;           8.491;à;              13,70;3er;          96.388;à;               4,80;ZZ;         281.401;à;               1,20;
15.03.;aufsteigend;10;13;20;23;39;44;ZZ;40;6er;               3;à;       2.391.218,80;5er + ZZ;               2;à;         113.335,10;5er;             180;à;           1.373,70;4er + ZZ;             432;à;             171,70;
15.03.;;;;;;;;;;4er;           8.941;à;              46,00;3er + ZZ;          12.058;à;              15,30;3er;         144.094;à;               5,10;ZZ;         415.087;à;               1,20;
19.03.;aufsteigend;3;11;17;33;34;43;ZZ;32;6er;JP;;         747.649,10;5er + ZZ;               5;à;          20.560,30;5er;              85;à;           1.319,30;4er + ZZ;             221;à;             152,20;
19.03.;;;;;;;;;;4er;           4.818;à;              38,70;3er + ZZ;           5.617;à;              14,90;3er;          73.963;à;               4,50;ZZ;         181.802;à;               1,20;
22.03.;aufsteigend;5;7;29;36;37;43;ZZ;18;6er;DJP;;       1.504.872,20;5er + ZZ;               1;à;         104.118,10;5er;              71;à;           1.599,70;4er + ZZ;             196;à;             173,80;
22.03.;;;;;;;;;;4er;           3.821;à;              49,50;3er + ZZ;           5.176;à;              16,40;3er;          63.646;à;               5,30;ZZ;         192.339;à;               1,20;
26.03.;aufsteigend;14;19;21;29;34;35;ZZ;38;6er;               1;à;       2.459.785,80;5er + ZZ;               3;à;          43.766,80;5er;              92;à;           1.556,90;4er + ZZ;             224;à;             191,80;
26.03.;;;;;;;;;;4er;           4.627;à;              51,50;3er + ZZ;           6.346;à;              16,90;3er;          79.543;à;               5,40;ZZ;         228.186;à;               1,20;
29.03.;aufsteigend;9;10;14;24;31;33;ZZ;23;6er;JP;;         612.531,00;5er + ZZ;               3;à;          28.074,30;5er;              61;à;           1.506,20;4er + ZZ;             152;à;             181,30;
29.03.;;;;;;;;;;4er;           3.212;à;              47,60;3er + ZZ;           4.681;à;              14,70;3er;          54.434;à;               5,00;ZZ;         156.921;à;               1,20;
02.04.;aufsteigend;17;20;24;25;29;30;ZZ;3;6er;               1;à;       1.488.382,90;5er + ZZ;               2;à;          60.214,80;5er;              76;à;           1.728,60;4er + ZZ;             233;à;             169,10;
02.04.;;;;;;;;;;4er;           4.324;à;              50,60;3er + ZZ;           6.995;à;              14,00;3er;          72.897;à;               5,40;ZZ;         260.666;à;               1,20;
05.04.;aufsteigend;5;6;16;18;23;45;ZZ;33;6er;JP;;         630.151,20;5er + ZZ;               3;à;          28.881,90;5er;              72;à;           1.312,80;4er + ZZ;             161;à;             176,10;
05.04.;;;;;;;;;;4er;           3.501;à;              44,90;3er + ZZ;           4.676;à;              15,10;3er;          57.523;à;               4,90;ZZ;         163.537;à;               1,20;
09.04.;aufsteigend;10;15;20;27;42;44;ZZ;37;6er;               1;à;       1.525.593,30;5er + ZZ;               2;à;          61.561,60;5er;              96;à;           1.399,10;4er + ZZ;             247;à;             163,10;
09.04.;;;;;;;;;;4er;           4.674;à;              47,80;3er + ZZ;           6.036;à;              16,60;3er;          78.918;à;               5,10;ZZ;         206.935;à;               1,20;
12.04.;aufsteigend;1;5;11;18;21;25;ZZ;29;6er;JP;;         587.942,10;5er + ZZ;               2;à;          40.421,00;5er;             101;à;             873,10;4er + ZZ;             222;à;             119,10;
12.04.;;;;;;;;;;4er;           4.026;à;              36,50;3er + ZZ;           5.267;à;              12,50;3er;          58.781;à;               4,50;ZZ;         148.718;à;               1,20;
14.04.;aufsteigend;7;9;18;20;28;34;ZZ;37;6er;DJP;;       1.237.899,80;5er + ZZ;               4;à;          22.342,20;5er;              73;à;           1.335,50;4er + ZZ;             176;à;             166,10;
14.04.;;;;;;;;;;4er;           3.741;à;              43,40;3er + ZZ;           4.246;à;              17,20;3er;          61.337;à;               4,70;ZZ;         147.059;à;               1,20;
16.04.;aufsteigend;7;13;17;37;38;39;ZZ;34;6er;               1;à;       1.961.706,30;5er + ZZ;               2;à;          49.761,60;5er;             119;à;             912,30;4er + ZZ;             185;à;             176,00;
16.04.;;;;;;;;;;4er;           4.491;à;              40,20;3er + ZZ;           5.063;à;              16,00;3er;          65.287;à;               5,00;ZZ;         172.950;à;               1,20;
19.04.;aufsteigend;1;2;9;10;18;29;ZZ;7;6er;JP;;         584.560,40;5er + ZZ;               3;à;          26.792,30;5er;             117;à;             749,40;4er + ZZ;             319;à;              82,40;
19.04.;;;;;;;;;;4er;           4.181;à;              34,90;3er + ZZ;           6.764;à;               9,70;3er;          57.978;à;               4,50;ZZ;         168.061;à;               1,20;
23.04.;aufsteigend;2;3;7;9;40;44;ZZ;8;6er;DJP;;       1.403.807,30;5er + ZZ;               3;à;          37.548,80;5er;              91;à;           1.350,40;4er + ZZ;             331;à;             111,30;
23.04.;;;;;;;;;;4er;           4.710;à;              43,40;3er + ZZ;           6.867;à;              13,40;3er;          79.244;à;               4,60;ZZ;         233.620;à;               1,20;
26.04.;aufsteigend;4;14;15;27;33;35;ZZ;18;6er;3JP;;       2.219.785,60;5er + ZZ;               3;à;          37.399,00;5er;              96;à;           1.274,90;4er + ZZ;             247;à;             148,60;
26.04.;;;;;;;;;;4er;           4.778;à;              42,60;3er + ZZ;           5.925;à;              15,40;3er;          73.928;à;               4,90;ZZ;         207.874;à;               1,20;
30.04.;aufsteigend;7;8;10;18;36;38;ZZ;44;6er;               3;à;       1.109.738,30;5er + ZZ;               3;à;          50.848,80;5er;             117;à;           1.422,30;4er + ZZ;             261;à;             191,20;
30.04.;;;;;;;;;;4er;           5.898;à;              47,00;3er + ZZ;           7.264;à;              17,10;3er;          98.616;à;               5,00;ZZ;         274.172;à;               1,20;
03.05.;aufsteigend;1;14;18;24;38;44;ZZ;37;6er;JP;;         597.316,90;5er + ZZ;               2;à;          41.065,50;5er;              51;à;           1.756,80;4er + ZZ;             129;à;             208,30;
03.05.;;;;;;;;;;4er;           2.765;à;              54,00;3er + ZZ;           3.337;à;              20,10;3er;          46.247;à;               5,80;ZZ;         141.164;à;               1,20;
07.05.;aufsteigend;13;14;16;32;35;36;ZZ;15;6er;DJP;;       1.432.622,60;5er + ZZ;               4;à;          28.713,60;5er;              87;à;           1.440,10;4er + ZZ;             231;à;             162,70;
07.05.;;;;;;;;;;4er;           3.833;à;              54,40;3er + ZZ;           5.391;à;              17,40;3er;          66.195;à;               5,70;ZZ;         228.185;à;               1,20;
