Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
03.01.;aufsteigend;4;5;12;16;26;40;ZZ;39;6er;               1;à;       1.799.701,70;5er + ZZ;               2;à;          66.549,60;5er;             135;à;           1.075,50;4er + ZZ;             324;à;             134,40;
03.01.;;;;;;;;;;4er;           6.311;à;              38,30;3er + ZZ;           7.539;à;              14,40;3er;          96.376;à;               4,50;ZZ;         244.537;à;               1,20;
06.01.;aufsteigend;10;13;18;30;39;45;ZZ;28;6er;JP;;         712.360,30;5er + ZZ;               2;à;          48.974,70;5er;              72;à;           1.484,00;4er + ZZ;             229;à;             139,90;
06.01.;;;;;;;;;;4er;           3.620;à;              49,10;3er + ZZ;           5.297;à;              15,10;3er;          60.046;à;               5,30;ZZ;         193.720;à;               1,20;
08.01.;aufsteigend;4;20;22;24;27;29;ZZ;31;6er;DJP;;       1.570.884,40;5er + ZZ;               1;à;         118.047,00;5er;             181;à;             711,40;4er + ZZ;             220;à;             175,60;
08.01.;;;;;;;;;;4er;           4.929;à;              43,50;3er + ZZ;           5.846;à;              16,50;3er;          76.720;à;               5,00;ZZ;         206.119;à;               1,20;
10.01.;aufsteigend;4;5;8;18;29;34;ZZ;23;6er;               1;à;       2.457.106,60;5er + ZZ;               3;à;          40.618,50;5er;             100;à;           1.329,30;4er + ZZ;             283;à;             140,90;
10.01.;;;;;;;;;;4er;           5.073;à;              43,60;3er + ZZ;           7.005;à;              14,20;3er;          83.460;à;               4,80;ZZ;         226.625;à;               1,20;
13.01.;aufsteigend;6;8;23;28;32;44;ZZ;35;6er;JP;;         691.245,70;5er + ZZ;               4;à;          23.761,50;5er;              69;à;           1.502,70;4er + ZZ;             220;à;             141,30;
13.01.;;;;;;;;;;4er;           3.873;à;              44,60;3er + ZZ;           5.120;à;              15,10;3er;          62.611;à;               4,90;ZZ;         163.172;à;               1,20;
17.01.;aufsteigend;4;5;14;17;32;33;ZZ;27;6er;DJP;;       1.675.627,60;5er + ZZ;               2;à;          67.676,20;5er;             109;à;           1.354,60;4er + ZZ;             296;à;             149,60;
17.01.;;;;;;;;;;4er;           5.381;à;              45,70;3er + ZZ;           8.334;à;              13,20;3er;          87.876;à;               5,00;ZZ;         266.226;à;               1,20;
20.01.;aufsteigend;5;14;20;24;27;42;ZZ;45;6er;3JP;;       2.692.391,70;5er + ZZ;JP;;         139.805,00;5er;             119;à;           1.281,60;4er + ZZ;             241;à;             189,80;
20.01.;;;;;;;;;;4er;           5.586;à;              45,50;3er + ZZ;           6.701;à;              17,00;3er;          90.061;à;               5,10;ZZ;         256.310;à;               1,20;
24.01.;aufsteigend;5;10;17;27;31;42;ZZ;2;6er;4JP;;       4.021.756,40;5er + ZZ;               9;à;          35.843,60;5er;             207;à;             963,30;4er + ZZ;             455;à;             131,40;
24.01.;;;;;;;;;;4er;           8.310;à;              39,90;3er + ZZ;          11.036;à;              13,50;3er;         126.262;à;               4,70;ZZ;         353.844;à;               1,20;
27.01.;aufsteigend;4;5;17;21;27;42;ZZ;2;6er;5JP;;       5.463.672,10;5er + ZZ;               5;à;          39.652,60;5er;             251;à;             861,70;4er + ZZ;             527;à;             123,10;
27.01.;;;;;;;;;;4er;          10.152;à;              35,50;3er + ZZ;          12.077;à;              13,40;3er;         141.341;à;               4,60;ZZ;         378.977;à;               1,20;
31.01.;aufsteigend;3;5;25;27;28;40;ZZ;43;6er;6JP;;       7.379.363,80;5er + ZZ;               9;à;          29.267,50;5er;             239;à;           1.202,30;4er + ZZ;             536;à;             160,80;
31.01.;;;;;;;;;;4er;          10.860;à;              44,00;3er + ZZ;          14.111;à;              15,20;3er;         177.787;à;               4,80;ZZ;         467.888;à;               1,20;
03.02.;aufsteigend;12;22;23;26;32;34;ZZ;14;6er;               2;à;       5.001.911,80;5er + ZZ;              10;à;          36.086,30;5er;             285;à;           1.381,20;4er + ZZ;             865;à;             136,50;
03.02.;;;;;;;;;;4er;          14.380;à;              45,60;3er + ZZ;          21.206;à;              13,90;3er;         234.947;à;               5,00;ZZ;         670.613;à;               1,20;
07.02.;aufsteigend;18;20;32;34;40;45;ZZ;2;6er;JP;;         855.120,50;5er + ZZ;               1;à;         117.579,00;5er;              81;à;           1.583,50;4er + ZZ;             206;à;             186,70;
07.02.;;;;;;;;;;4er;           4.183;à;              51,10;3er + ZZ;           5.766;à;              16,60;3er;          68.750;à;               5,60;ZZ;         254.647;à;               1,20;
10.02.;aufsteigend;20;26;27;28;29;41;ZZ;44;6er;DJP;;       1.787.884,30;5er + ZZ;               2;à;          64.127,50;5er;             106;à;           1.319,90;4er + ZZ;             244;à;             172,00;
10.02.;;;;;;;;;;4er;           5.078;à;              45,90;3er + ZZ;           6.129;à;              17,10;3er;          79.047;à;               5,30;ZZ;         223.502;à;               1,20;
12.02.;aufsteigend;3;9;23;28;39;42;ZZ;41;6er;3JP;;       2.667.950,00;5er + ZZ;               2;à;          60.504,50;5er;             129;à;           1.023,30;4er + ZZ;             238;à;             166,30;
12.02.;;;;;;;;;;4er;           5.488;à;              40,00;3er + ZZ;           5.944;à;              16,60;3er;          86.135;à;               4,60;ZZ;         208.995;à;               1,20;
14.02.;aufsteigend;7;25;31;32;37;41;ZZ;26;6er;4JP;;       3.636.274,00;5er + ZZ;               3;à;          44.381,50;5er;              83;à;           1.749,90;4er + ZZ;             295;à;             147,70;
14.02.;;;;;;;;;;4er;           4.636;à;              52,20;3er + ZZ;           6.189;à;              17,60;3er;          75.340;à;               5,80;ZZ;         282.518;à;               1,20;
17.02.;aufsteigend;7;8;13;14;19;43;ZZ;20;6er;5JP;;       5.025.176,90;5er + ZZ;              12;à;          15.914,50;5er;             157;à;           1.326,90;4er + ZZ;             377;à;             165,70;
17.02.;;;;;;;;;;4er;           7.739;à;              44,80;3er + ZZ;           9.808;à;              15,90;3er;         125.164;à;               5,00;ZZ;         362.113;à;               1,20;
21.02.;aufsteigend;10;21;26;35;40;45;ZZ;14;6er;               2;à;       3.420.048,10;5er + ZZ;               3;à;          83.183,80;5er;             219;à;           1.243,00;4er + ZZ;             569;à;             143,50;
21.02.;;;;;;;;;;4er;          10.112;à;              44,80;3er + ZZ;          13.204;à;              15,40;3er;         159.931;à;               5,10;ZZ;         467.579;à;               1,20;
