Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
;;;;;;;;7;4;0;       1.469;          91;          52,00;
;;;;;;;;8;2;2;      24.471;       1.306;          15,60;
;;;;;;;;9;3;1;      37.168;       1.963;          11,40;
;;;;;;;;10;3;0;      72.324;       4.148;          10,90;
;;;;;;;;11;1;2;     132.698;       7.146;           7,20;
;;;;;;;;12;2;1;     553.646;      28.527;           5,40;
;;;;;;;;13;2;0;   1.069.150;      59.830;           4,50;
Fr. 05.05.2023;3;8;18;34;49;3;7;1;5;2;           3;           0;  53.041.075,00;
;;;;;;;;2;5;1;           7;           2;     157.711,00;
;;;;;;;;3;5;0;           9;           0;      28.668,60;
;;;;;;;;4;4;2;          69;           3;       1.164,70;
;;;;;;;;5;4;1;       1.270;          57;         116,50;
;;;;;;;;6;3;2;       4.046;         176;          38,60;
;;;;;;;;7;4;0;       2.521;         120;          43,60;
;;;;;;;;8;2;2;      60.931;       2.425;           9,00;
;;;;;;;;9;3;1;      57.893;       2.773;          10,50;
;;;;;;;;10;3;0;     113.767;       5.835;          10,00;
;;;;;;;;11;1;2;     325.394;      12.415;           4,20;
;;;;;;;;12;2;1;     837.510;      40.008;           5,20;
;;;;;;;;13;2;0;   1.672.707;      85.314;           4,10;
Di. 09.05.2023;13;17;21;28;46;7;9;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           0;     126.107,90;
;;;;;;;;4;4;2;          42;           0;         885,80;
;;;;;;;;5;4;1;         851;          30;          80,50;
;;;;;;;;6;3;2;       2.057;          83;          35,20;
;;;;;;;;7;4;0;       1.477;          60;          34,40;
;;;;;;;;8;2;2;      25.727;         954;           9,80;
;;;;;;;;9;3;1;      35.739;       1.537;           7,90;
;;;;;;;;10;3;0;      64.835;       2.921;           8,10;
;;;;;;;;11;1;2;     120.240;       4.761;           5,30;
;;;;;;;;12;2;1;     455.562;      19.000;           4,40;
;;;;;;;;13;2;0;     859.732;      40.023;           3,70;
Fr. 12.05.2023;9;10;13;39;44;4;6;1;5;2;JP;JP;  30.501.493,50;
;;;;;;;;2;5;1;           3;           0;     234.925,90;
;;;;;;;;3;5;0;           8;           0;      20.589,70;
;;;;;;;;4;4;2;          36;           1;       1.425,10;
;;;;;;;;5;4;1;         676;          25;         139,80;
;;;;;;;;6;3;2;       1.824;          48;          54,70;
;;;;;;;;7;4;0;       1.446;          58;          48,50;
;;;;;;;;8;2;2;      30.108;       1.133;          11,60;
;;;;;;;;9;3;1;      34.193;       1.460;          11,40;
;;;;;;;;10;3;0;      76.574;       3.041;           9,50;
;;;;;;;;11;1;2;     158.399;       5.587;           5,50;
;;;;;;;;12;2;1;     530.715;      21.437;           5,20;
;;;;;;;;13;2;0;   1.183.027;      46.870;           3,70;
Di. 16.05.2023;4;6;9;14;37;4;11;1;5;2;JP;JP;  40.834.212,00;
;;;;;;;;2;5;1;           1;           0;     539.367,90;
;;;;;;;;3;5;0;           7;           0;      18.008,40;
;;;;;;;;4;4;2;          24;           0;       1.636,00;
;;;;;;;;5;4;1;         619;          25;         116,80;
;;;;;;;;6;3;2;       1.249;          75;          61,20;
;;;;;;;;7;4;0;       1.378;          53;          38,90;
;;;;;;;;8;2;2;      17.659;         930;          15,20;
;;;;;;;;9;3;1;      28.842;       1.336;          10,30;
;;;;;;;;10;3;0;      65.918;       3.036;           8,40;
;;;;;;;;11;1;2;      90.548;       5.179;           7,40;
;;;;;;;;12;2;1;     392.797;      19.187;           5,40;
;;;;;;;;13;2;0;     921.483;      43.060;           3,70;
Fr. 19.05.2023;18;27;34;41;49;3;9;1;5;2;JP;JP;  54.581.705,10;
;;;;;;;;2;5;1;           3;           0;     239.206,30;
;;;;;;;;3;5;0;          10;           0;      16.771,90;
;;;;;;;;4;4;2;          44;           3;       1.187,20;
;;;;;;;;5;4;1;         854;          28;         112,60;
;;;;;;;;6;3;2;       2.169;          79;          46,90;
;;;;;;;;7;4;0;       1.724;          98;          41,40;
;;;;;;;;8;2;2;      30.151;       1.235;          11,80;
;;;;;;;;9;3;1;      34.696;       1.561;          11,40;
;;;;;;;;10;3;0;      70.468;       3.318;          10,50;
;;;;;;;;11;1;2;     164.870;       6.695;           5,40;
;;;;;;;;12;2;1;     491.058;      20.430;           5,70;
;;;;;;;;13;2;0;   1.016.739;      44.545;           4,40;
Di. 23.05.2023;5;6;14;23;34;2;11;1;5;2;JP;JP;  65.331.075,10;
;;;;;;;;2;5;1;           3;           0;     187.039,00;
;;;;;;;;3;5;0;           7;           1;      18.734,60;
;;;;;;;;4;4;2;          38;           5;       1.074,90;
;;;;;;;;5;4;1;         710;          33;         105,90;
;;;;;;;;6;3;2;       1.377;          65;          57,70;
;;;;;;;;7;4;0;       1.826;          84;          30,60;
;;;;;;;;8;2;2;      19.268;         917;          14,50;
;;;;;;;;9;3;1;      30.860;       1.459;          10,10;
;;;;;;;;10;3;0;      74.395;       3.397;           7,80;
;;;;;;;;11;1;2;      98.805;       4.811;           7,10;
;;;;;;;;12;2;1;     417.707;      20.270;           5,30;
;;;;;;;;13;2;0;     992.176;      45.364;           3,50;
Fr. 26.05.2023;15;25;37;38;41;1;7;1;5;2;JP;JP;  77.603.768,70;
;;;;;;;;2;5;1;           4;           1;     190.665,00;
;;;;;;;;3;5;0;           3;           0;      59.415,40;
;;;;;;;;4;4;2;          31;           1;       1.790,90;
;;;;;;;;5;4;1;         733;          21;         139,50;
;;;;;;;;6;3;2;       1.525;          75;          70,80;
;;;;;;;;7;4;0;       1.524;          64;          49,80;
;;;;;;;;8;2;2;      24.475;       1.110;          15,50;
;;;;;;;;9;3;1;      33.279;       1.436;          12,70;
;;;;;;;;10;3;0;      72.955;       3.385;          10,80;
;;;;;;;;11;1;2;     142.592;       6.206;           6,70;
;;;;;;;;12;2;1;     499.263;      21.783;           6,00;
;;;;;;;;13;2;0;   1.098.037;      49.466;           4,40;
Di. 30.05.2023;27;29;32;33;47;2;8;1;5;2;JP;JP;  87.066.382,00;
;;;;;;;;2;5;1;           5;           1;     117.606,70;
;;;;;;;;3;5;0;           5;           0;      27.486,60;
;;;;;;;;4;4;2;          25;           3;       1.712,20;
;;;;;;;;5;4;1;         504;          22;         156,40;
;;;;;;;;6;3;2;       1.423;          80;          58,50;
;;;;;;;;7;4;0;       1.059;          58;          55,30;
;;;;;;;;8;2;2;      23.583;       1.289;          12,40;
;;;;;;;;9;3;1;      24.707;       1.356;          13,20;
;;;;;;;;10;3;0;      55.123;       3.008;          11,00;
;;;;;;;;11;1;2;     137.171;       6.975;           5,30;
;;;;;;;;12;2;1;     390.205;      20.893;           5,90;
;;;;;;;;13;2;0;     869.044;      47.056;           4,30;
