Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
;;;;;;;;12;2;1;     465.139;      20.826;           6,30;
;;;;;;;;13;2;0;   1.474.197;      55.520;           3,20;
Di. 31.01.2023;7;12;19;33;43;3;7;1;5;2;           1;           0;  66.081.021,00;
;;;;;;;;2;5;1;           3;           0;     202.795,00;
;;;;;;;;3;5;0;           5;           0;      28.437,90;
;;;;;;;;4;4;2;          99;           3;         447,30;
;;;;;;;;5;4;1;         972;          64;          83,90;
;;;;;;;;6;3;2;       3.897;         156;          22,10;
;;;;;;;;7;4;0;       1.722;         105;          35,10;
;;;;;;;;8;2;2;      47.231;       1.811;           6,40;
;;;;;;;;9;3;1;      42.115;       2.002;           8,00;
;;;;;;;;10;3;0;      74.951;       4.092;           8,30;
;;;;;;;;11;1;2;     199.918;       7.765;           3,80;
;;;;;;;;12;2;1;     544.979;      25.408;           4,40;
;;;;;;;;13;2;0;   1.000.376;      52.683;           3,80;
Fr. 03.02.2023;2;14;17;32;45;3;10;1;5;2;JP;JP;  26.903.914,40;
;;;;;;;;2;5;1;           7;           0;     200.626,30;
;;;;;;;;3;5;0;          30;           0;      10.940,90;
;;;;;;;;4;4;2;          97;           2;       1.053,90;
;;;;;;;;5;4;1;       1.623;          74;         116,00;
;;;;;;;;6;3;2;       3.561;         108;          55,90;
;;;;;;;;7;4;0;       4.033;         171;          34,60;
;;;;;;;;8;2;2;      49.800;       1.737;          14,00;
;;;;;;;;9;3;1;      68.391;       2.378;          11,40;
;;;;;;;;10;3;0;     159.540;       5.581;           9,10;
;;;;;;;;11;1;2;     261.401;       9.332;           6,70;
;;;;;;;;12;2;1;     969.875;      34.010;           5,70;
;;;;;;;;13;2;0;   2.249.589;      77.234;           3,90;
Di. 07.02.2023;2;8;34;44;47;3;9;1;5;2;JP;JP;  37.368.401,40;
;;;;;;;;2;5;1;           5;           0;     109.249,20;
;;;;;;;;3;5;0;           6;           2;      21.277,70;
;;;;;;;;4;4;2;          19;           1;       2.092,80;
;;;;;;;;5;4;1;         447;          26;         163,80;
;;;;;;;;6;3;2;       1.268;          75;          61,00;
;;;;;;;;7;4;0;       1.050;          60;          51,80;
;;;;;;;;8;2;2;      20.488;       1.004;          13,20;
;;;;;;;;9;3;1;      22.536;       1.128;          13,40;
;;;;;;;;10;3;0;      49.757;       2.711;          11,30;
;;;;;;;;11;1;2;     121.583;       5.762;           5,60;
;;;;;;;;12;2;1;     361.349;      18.085;           5,90;
;;;;;;;;13;2;0;     778.049;      39.553;           4,40;
Fr. 10.02.2023;3;13;25;36;47;3;8;1;5;2;JP;JP;  51.805.568,10;
;;;;;;;;2;5;1;          12;           0;      62.801,60;
;;;;;;;;3;5;0;          17;           1;      10.360,70;
;;;;;;;;4;4;2;          83;           4;         660,90;
;;;;;;;;5;4;1;       1.151;          37;          87,80;
;;;;;;;;6;3;2;       3.184;          81;          33,50;
;;;;;;;;7;4;0;       2.099;          65;          35,70;
;;;;;;;;8;2;2;      35.034;       1.308;          10,70;
;;;;;;;;9;3;1;      41.898;       1.530;           9,90;
;;;;;;;;10;3;0;      82.058;       3.402;           9,50;
;;;;;;;;11;1;2;     176.046;       6.806;           5,30;
;;;;;;;;12;2;1;     592.301;      23.278;           5,00;
;;;;;;;;13;2;0;   1.160.251;      48.650;           4,10;
Di. 14.02.2023;24;26;38;43;46;2;3;1;5;2;JP;JP;  63.133.766,30;
;;;;;;;;2;5;1;           4;           1;     147.832,90;
;;;;;;;;3;5;0;           2;           0;      69.102,00;
;;;;;;;;4;4;2;          21;           0;       2.049,80;
;;;;;;;;5;4;1;         611;          37;         129,70;
;;;;;;;;6;3;2;       1.078;          66;          77,70;
;;;;;;;;7;4;0;       1.144;          59;          51,40;
;;;;;;;;8;2;2;      16.539;         937;          17,80;
;;;;;;;;9;3;1;      25.640;       1.416;          12,80;
;;;;;;;;10;3;0;      53.177;       2.958;          11,50;
;;;;;;;;11;1;2;      95.339;       5.124;           7,70;
;;;;;;;;12;2;1;     392.777;      21.036;           5,90;
;;;;;;;;13;2;0;     803.215;      43.204;           4,60;
Fr. 17.02.2023;8;23;27;42;45;1;9;1;5;2;JP;JP;  78.038.271,30;
;;;;;;;;2;5;1;           2;           0;     389.007,50;
;;;;;;;;3;5;0;          10;           0;      18.183,40;
;;;;;;;;4;4;2;          38;           2;       1.490,40;
;;;;;;;;5;4;1;         915;          45;         114,00;
;;;;;;;;6;3;2;       1.931;          76;          57,10;
;;;;;;;;7;4;0;       2.131;         107;          36,30;
;;;;;;;;8;2;2;      28.368;       1.304;          13,60;
;;;;;;;;9;3;1;      39.444;       1.762;          10,90;
;;;;;;;;10;3;0;      95.550;       4.146;           8,40;
;;;;;;;;11;1;2;     146.242;       6.332;           6,60;
;;;;;;;;12;2;1;     553.040;      25.169;           5,50;
;;;;;;;;13;2;0;   1.322.109;      57.782;           3,70;
Di. 21.02.2023;21;22;34;41;49;2;7;1;5;2;JP;JP;  87.872.368,10;
;;;;;;;;2;5;1;           2;           0;     305.559,40;
;;;;;;;;3;5;0;           3;           0;      47.609,50;
;;;;;;;;4;4;2;          37;           0;       1.202,30;
;;;;;;;;5;4;1;         591;          39;         138,60;
;;;;;;;;6;3;2;       1.597;          77;          54,20;
;;;;;;;;7;4;0;       1.240;          76;          49,00;
;;;;;;;;8;2;2;      24.718;       1.122;          12,30;
;;;;;;;;9;3;1;      27.372;       1.536;          12,40;
;;;;;;;;10;3;0;      57.167;       3.215;          11,00;
;;;;;;;;11;1;2;     145.813;       6.644;           5,20;
;;;;;;;;12;2;1;     418.022;      21.381;           5,70;
;;;;;;;;13;2;0;     861.278;      46.013;           4,50;
Fr. 24.02.2023;7;23;34;42;48;1;3;1;5;2;           1;           0; 102.242.065,00;
