;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;7.11.;aufsteigend;4;12;22;24;37;42;Zz;44;6er;3JP;;3.561.538,30;5er + ZZ;9;à;23.559,50;5er;197;à;1.174,10;4er + ZZ;462;à;175,20;;;;;;
;;gezogen;12;42;22;37;4;24;Zz;44;4er;8.927;à;42,70;3er + ZZ;11.199;à;16,50;3er;145.131;à;4,60;ZZ;418.195;à;1,10;;;;;;
Mi;10.11.;aufsteigend;4;11;18;30;42;43;ZZ;31;6er;1;à;5.530.516,80;5er + ZZ;5;à;54.146,90;5er;218;à;1.354,80;4er + ZZ;570;à;181,30;;;;;;
;;gezogen;11;42;30;43;18;4;Zz;31;4er;10.783;à;45,10;3er + ZZ;14.081;à;16,70;3er;179.093;à;4,80;ZZ;532.880;à;1,10;;;;;;
So;14.11.;aufsteigend;6;25;33;38;44;45;Zz;4;6er;JP;;934.266,20;5er + ZZ;1;à;128.461,60;5er;88;à;1.592,40;4er + ZZ;217;à;226,00;;;;;;
;;gezogen;33;25;44;38;6;45;Zz;4;4er;4.703;à;49,10;3er + ZZ;6.301;à;17,70;3er;80.866;à;5,00;ZZ;296.480;à;1,10;;;;;;
Mi;17.11.;aufsteigend;6;12;13;21;22;40;Zz;26;6er;DJP;;2.157.603,90;5er + ZZ;8;à;21.026,10;5er;130;à;1.411,50;4er + ZZ;387;à;165,90;;;;;;
;;gezogen;40;21;6;13;22;12;Zz;26;4er;7.591;à;39,80;3er + ZZ;10.145;à;14,40;3er;121.705;à;4,40;ZZ;364.426;à;1,10;;;;;;
So;21.11.;aufsteigend;1;13;24;30;36;38;Zz;19;6er;2;à;1.864.444,50;5er + ZZ;2;à;108.025,80;5er;160;à;1.473,00;4er + ZZ;477;à;172,90;;;;;;
;;gezogen;38;24;13;36;30;1;Zz;19;4er;8.099;à;48,00;3er + ZZ;11.676;à;16,10;3er;135.104;à;5,10;ZZ;472.879;à;1,10;;;;;;
Mi;24.11.;aufsteigend;10;13;31;39;44;45;Zz;29;6er;JP;;784.864,10;5er + ZZ;2;à;53.959,40;5er;75;à;1.569,70;4er + ZZ;240;à;171,60;;;;;;
;;gezogen;10;13;39;44;45;31;Zz;29;4er;3.975;à;48,80;3er + ZZ;6.227;à;15,10;3er;69.399;à;4,90;ZZ;229.138;à;1,10;;;;;;
So;28.11.;aufsteigend;3;23;25;26;28;44;Zz;38;6er;DJP;;2.065.263,20;5er + ZZ;3;à;58.684,90;5er;133;à;1.444,00;4er + ZZ;337;à;199,40;;;;;;
;;gezogen;23;26;25;44;28;3;Zz;38;4er;7.233;à;43,80;3er + ZZ;9.505;à;16,10;3er;121.511;à;4,60;ZZ;330.781;à;1,10;;;;;;
Mi;1.12.;aufsteigend;12;15;16;22;29;36;Zz;24;6er;3JP;;3.494.977,40;5er + ZZ;1;à;196.585,60;5er;180;à;1.191,40;4er + ZZ;376;à;199,60;;;;;;
;;gezogen;12;36;16;22;15;29;Zz;24;4er;9.777;à;36,10;3er + ZZ;10.548;à;16,20;3er;134.322;à;4,60;ZZ;388.501;à;1,10;;;;;;
So;5.12.;aufsteigend;3;7;10;29;32;42;Zz;43;6er;1;à;5.455.079,70;5er + ZZ;8;à;33.689,20;5er;249;à;1.180,70;4er + ZZ;609;à;168,90;;;;;;
;;gezogen;3;42;29;7;10;32;Zz;43;4er;12.515;à;38,70;3er + ZZ;16.086;à;14,60;3er;197.985;à;4,30;ZZ;521.062;à;1,10;;;;;;
Mi;8.12.;aufsteigend;1;3;9;39;42;43;ZZ;22;6er;JP;;762.303,00;5er + ZZ;3;à;34.938,80;5er;106;à;1.078,70;4er + ZZ;244;à;164,00;;;;;;
;;gezogen;1;3;39;9;42;43;Zz;22;4er;5.783;à;32,60;3er + ZZ;6.347;à;14,40;3er;79.600;à;4,20;ZZ;217.187;à;1,10;;;;;;
So;12.12.;aufsteigend;7;10;32;33;39;43;Zz;5;6er;JP;;2.111.622,80;5er + ZZ;3;à;61.843,80;5er;140;à;1.445,60;4er + ZZ;437;à;162,10;;;;;;
;;gezogen;7;39;43;10;33;32;Zz;5;4er;7.905;à;42,20;3er + ZZ;11.938;à;13,50;3er;131.779;à;4,50;ZZ;421.050;à;1,10;;;;;;
Mi;15.12.;aufsteigend;3;9;26;36;38;44;Zz;33;6er;3JP;;3.602.235,70;5er + ZZ;3;à;68.319,70;5er;209;à;1.069,80;4er + ZZ;465;à;168,20;;;;;;
;;gezogen;36;9;26;3;38;44;Zz;33;4er;9.195;à;40,10;3er + ZZ;12.778;à;13,90;3er;145.115;à;4,50;ZZ;428.582;à;1,10;;;;;;
So;19.12.;aufsteigend;16;20;26;34;37;43;Zz;24;6er;4JP;;5.587.458,10;5er + ZZ;11;à;24.815,20;5er;243;à;1.225,40;4er + ZZ;651;à;160,00;;;;;;
;;gezogen;26;37;20;16;34;43;Zz;24;4er;11.276;à;43,50;3er + ZZ;14.800;à;16,00;3er;182.804;à;4,70;ZZ;568.765;à;1,10;;;;;;
Mi;22.12.;aufsteigend;3;7;11;28;35;36;Zz;6;6er;1;à;8.905.907,20;5er + ZZ;13;à;35.098,90;5er;447;à;1.113,50;4er + ZZ;1.073;à;162,30;;;;;;
;;gezogen;35;7;11;28;3;36;Zz;6;4er;21.499;à;38,20;3er + ZZ;27.512;à;14,40;3er;338.351;à;4,30;ZZ;964.773;à;1,10;;;;;;
So;26.12.;aufsteigend;2;11;12;13;24;26;Zz;1;6er;JP;;926.098,20;5er + ZZ;4;à;31.834,60;5er;167;à;831,80;4er + ZZ;493;à;98,60;;;;;;
;;gezogen;2;26;24;12;13;11;Zz;1;4er;6.552;à;34,90;3er + ZZ;9.316;à;11,90;3er;98.702;à;4,10;ZZ;254.503;à;1,10;;;;;;
Mi;29.12.;aufsteigend;5;6;22;32;42;43;Zz;25;6er;DJP;;2.304.950,20;5er + ZZ;5;à;37.918,40;5er;161;à;1.284,60;4er + ZZ;355;à;203,90;;;;;;
;;gezogen;5;43;22;6;32;42;Zz;25;4er;8.008;à;42,60;3er + ZZ;9.668;à;17,10;3er;130.762;à;4,60;ZZ;369.563;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;02.1.;aufsteigend;10;12;21;24;36;42;ZZ;40;6er;3JP;;3.920.248,30;5er + ZZ;2;à;111.051,70;5er;233;à;1.039,80;4er + ZZ;529;à;160,30;;;;;;
;;gezogen;36;42;24;10;21;12;ZZ;40;4er;10.668;à;37,40;3er + ZZ;12.349;à;15,60;3er;156.705;à;4,50;ZZ;449.859;à;1,10;;;;;;
Mi;05.1.;aufsteigend;8;18;25;30;43;45;ZZ;1;6er;1;à;6.114.970,40;5er + ZZ;8;à;37.721,70;5er;239;à;1.377,40;4er + ZZ;702;à;164,10;;;;;;
;;gezogen;25;8;30;43;45;18;ZZ;1;4er;12.349;à;43,90;3er + ZZ;17.319;à;15,20;3er;199.979;à;4,80;ZZ;624.582;à;1,10;;;;;;
So;09.1.;aufsteigend;2;4;12;14;24;40;ZZ;21;6er;JP;;964.721,80;5er + ZZ;3;à;44.216,40;5er;187;à;773,80;4er + ZZ;366;à;138,30;;;;;;
;;gezogen;12;2;24;40;14;4;ZZ;21;4er;7.016;à;34,00;3er + ZZ;8.519;à;13,50;3er;100.733;à;4,20;ZZ;287.469;à;1,10;;;;;;
Mi;12.1.;aufsteigend;3;6;10;12;19;38;ZZ;15;6er;2JP;;2.306.207,10;5er + ZZ;9;à;20.494,90;5er;251;à;801,60;4er + ZZ;511;à;137,80;;;;;;
;;gezogen;6;38;3;19;10;12;ZZ;15;4er;10.304;à;32,20;3er + ZZ;12.291;à;13,00;3er;150.126;à;3,90;ZZ;376.658;à;1,10;;;;;;
