1986 Lotto - Beträge in ATS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Zahlen in ;;;;;;;;Sechser;;;Fünfer + Zz;;;Fünfer;;;Vierer;;;Dreier;;;Zahlen in ;;;;;;;
Datum;;aufsteigender Reihenfolge;;;;;;;;Anzahl    ;;Quote;Anzahl ;;Quote;Anzahl;;Quote;Anzahl;;Quote;Anzahl;;Quote;gezogener Reihenfolge;;;;;;;
So.;08.03.;1;5;24;36;38;42;Zz:;18;1;à;26.205.604,00;9;à;558.079,00;194;à;38.835,00;13.390;à;750;277.777;à;45;5;24;36;38;42;1;Zz:;18
So.;15.03.;4;19;23;27;29;34;Zz:;14;3;à;4.235.491,00;19;à;222.920,00;467;à;13.604,00;23.555;à;359;393.259;à;26;4;34;27;29;23;19;Zz:;14
So.;22.03.;3;7;13;24;31;44;Zz:;6;1;à;11.973.638,00;9;à;443.468,00;530;à;11.295,00;32.404;à;246;335.463;à;29;31;7;13;24;44;3;Zz:;6
So.;29.03.;3;4;10;21;28;44;Zz:;33;1;à;11.456.449,00;37;à;103.211,00;407;à;14.074,00;20.753;à;368;349.350;à;27;4;21;28;44;3;10;Zz:;33
So.;05.04.;6;9;14;21;24;44;Zz:;5;2;à;5.737.897,00;6;à;637.544,00;344;à;16.679,00;19.272;à;396;328.847;à;29;24;44;9;14;6;21;Zz:;5
So.;12.04.;3;20;23;26;27;40;Zz:;31;1;à;10.583.119,00;6;à;587.951,00;233;à;22.710,00;16.656;à;423;304.965;à;28;27;26;40;3;23;20;Zz:;31
So.;19.04.;3;6;18;20;40;42;Zz:;4;1;à;10.218.388,00;5;à;681.225,00;254;à;20.114,00;13.270;à;513;259.540;à;32;42;40;6;18;3;20;Zz:;4
So.;26.04.;5;25;28;30;35;36;Zz:;16;1;à;9.859.764,00;4;à;821.647,00;193;à;25.543,00;15.135;à;434;249.345;à;32;28;30;25;35;36;5;Zz:;16
So.;03.05.;21;29;32;35;39;43;Zz:;24;5;à;1.901.179,00;16;à;198.039,00;509;à;9.337,00;21.365;à;296;285.131;à;27;29;39;21;43;32;35;Zz:;24
So.;10.05.;12;13;14;19;35;40;Zz:;10;JP;;10.437.772,00;3;à;1.159.752,00;157;à;33.241,00;10.012;à;695;222.443;à;39;12;19;13;40;35;14;Zz:;10
So.;17.05.;32;33;35;41;43;45;Zz:;39;6;à;4.095.480,00;79;à;59.641,00;535;à;13.210,00;16.878;à;558;305.706;à;38;45;43;33;35;41;32;Zz:;39
So.;24.05.;3;15;16;36;39;42;Zz:;17;1;à;10.753.543,00;4;à;896.128,00;254;à;21.168,00;15.735;à;455;268.688;à;33;15;36;3;42;16;39;Zz:;17
So.;31.05.;8;10;14;26;30;41;Zz:;35;JP;;9.866.783,00;8;à;411.115,00;318;à;15.513,00;15.938;à;412;281.146;à;29;14;30;41;8;10;26;Zz:;35
So.;07.06.;8;23;24;25;28;32;Zz:;11;1;à;23.703.925,00;11;à;419.307,00;231;à;29.950,00;20.967;à;439;376.013;à;30;28;8;23;24;25;32;Zz:;11
So.;14.06.;1;15;30;37;40;43;Zz:;18;JP;;10.248.236,00;JP;;3.416.078,00;179;à;28.626,00;11.062;à;617;214.044;à;39;37;15;40;43;1;30;Zz:;18
So.;21.06.;3;11;12;16;19;42;Zz:;34;1;à;26.507.214,00;21;à;420.749,00;462;à;17.596,00;27.628;à;392;470.696;à;28;3;12;16;42;11;19;Zz:;34
So.;28.06.;10;17;30;37;40;45;Zz:;27;2;à;5.369.911,00;20;à;178.997,00;323;à;16.625,00;18.766;à;381;269.069;à;33;30;40;45;10;37;17;Zz:;27
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987 Lotto - Beträge in ATS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Zahlen in ;;;;;;;;Sechser;;;Fünfer + Zz;;;Fünfer;;;Vierer;;;Dreier;;;Zahlen in ;;;;;;;
 Datum;;aufsteigender Reihenfolge;;;;;;;;Anzahl    ;;Quote;Anzahl ;;Quote;Anzahl;;Quote;Anzahl;;Quote;Anzahl;;Quote;gezogener Reihenfolge;;;;;;;
So.;05.07.;5;8;15;22;33;36;Zz:;13;2;à;4.986.760,00;11;à;302.227,00;835;à;5.972,00;39.866;à;166;373.518;à;22;15;33;22;36;5;8;Zz:;13
So.;12.07.;3;8;17;27;29;44;Zz:;2;3;à;3.280.794,00;8;à;410.099,00;580;à;8.484,00;25.455;à;257;358.756;à;22;3;8;27;17;29;44;Zz:;2
So.;19.07.;1;22;27;36;39;43;Zz:;28;1;à;9.384.697,00;1;à;3.128.232,00;246;à;19.074,00;12.210;à;512;228.103;à;34;36;1;27;39;43;22;Zz:;28
So.;26.07.;8;15;20;25;33;41;Zz:;26;1;à;9.041.456,00;9;à;334.868,00;507;à;8.916,00;20.234;à;297;293.744;à;25;15;41;33;8;20;25;Zz:;26
So.;02.08.;4;20;28;29;38;43;Zz:;7;JP;;9.293.703,00;10;à;309.790,00;300;à;15.489,00;14.828;à;417;256.790;à;30;38;29;4;43;28;20;Zz:;7
So.;09.08.;3;10;14;27;29;45;Zz:;20;DJP;;22.083.013,00;17;à;250.770,00;727;à;8.795,00;29.825;à;285;435.774;à;24;29;45;10;14;27;3;Zz:;20
So.;16.08.;3;5;10;12;16;28;Zz:;37;3;à;15.694.155,00;9;à;925.905,00;1.318;à;9.483,00;58.100;à;286;864.167;à;24;5;3;16;10;28;12;Zz:;37
So.;23.08.;5;10;22;30;39;43;Zz:;7;1;à;10.906.958,00;15;à;242.376,00;415;à;13.140,00;18.334;à;396;308.633;à;29;22;39;10;30;5;43;Zz:;7
So.;30.08.;8;10;24;30;35;39;Zz:;43;JP;;10.769.870,00;5;à;717.991,00;355;à;15.168,00;19.366;à;370;340.577;à;26;39;30;24;10;8;35;Zz:;43
So.;06.09.;8;17;26;33;37;39;Zz:;38;DJP;;25.415.251,00;7;à;697.399,00;613;à;11.945,00;30.388;à;321;458.261;à;26;37;26;33;39;17;8;Zz:;38
So.;13.09.;9;24;25;26;37;45;Zz:;38;3;à;17.439.235,00;9;à;996.387,00;422;à;31.874,00;26.128;à;686;539.904;à;41;24;9;26;25;45;37;Zz:;38
So.;20.09.;4;17;22;26;37;39;Zz:;36;2;à;6.013.417,00;11;à;364.449,00;430;à;13.984,00;31.467;à;254;345.519;à;29;37;4;39;22;17;26;Zz:;36
So.;27.09.;4;6;10;11;24;36;Zz:;3;2;à;5.951.514,00;4;à;991.919,00;322;à;18.482,00;18.877;à;420;334.819;à;29;11;10;6;24;4;36;Zz:;3
So.;04.10.;7;10;33;35;36;41;Zz:;11;1;à;11.761.710,00;7;à;560.081,00;254;à;23.152,00;16.349;à;479;331.959;à;29;7;10;41;35;36;33;Zz:;11
So.;11.10.;5;14;20;22;23;31;Zz:;2;JP;;11.682.102,00;7;à;556.290,00;351;à;16.641,00;20.800;à;374;330.243;à;29;14;5;20;31;22;23;Zz:;2
So.;18.10.;21;22;29;30;34;35;Zz:;42;7;à;3.853.882,00;6;à;849.726,00;475;à;16.100,00;23.128;à;440;438.644;à;29;21;22;30;29;35;34;Zz:;42
So.;25.10.;20;21;32;33;35;43;Zz:;29;3;à;3.914.212,00;18;à;217.456,00;696;à;8.435,00;31.502;à;248;401.770;à;24;33;20;43;35;32;21;Zz:;29
So.;01.11.;15;25;26;28;39;44;Zz:;18;2;à;5.839.762,00;17;à;229.010,00;729;à;8.010,00;28.921;à;269;387.351;à;25;25;15;39;28;44;26;Zz:;18
So.;08.11.;5;13;16;23;39;41;Zz:;22;3;à;3.881.616,00;3;à;1.293.872,00;313;à;18.601,00;15.248;à;509;285.593;à;33;13;39;23;16;41;5;Zz:;22
So.;15.11.;14;25;29;30;37;41;Zz:;28;JP;;11.470.148,00;8;à;477.922,00;255;à;22.490,00;14.728;à;519;269.122;à;35;14;30;41;37;25;29;Zz:;28
So.;22.11.;7;16;17;20;39;45;Zz:;29;1;à;27.571.926,00;12;à;447.271,00;310;à;25.970,00;20.512;à;523;407.590;à;32;20;7;39;16;17;45;Zz:;29
So.;29.11.;5;14;17;33;37;39;Zz:;4;3;à;4.355.788,00;5;à;871.157,00;892;à;7.324,00;40.074;à;217;488.757;à;22;17;5;37;14;33;39;Zz:;4
So.;06.12.;10;13;17;26;31;38;Zz:;25;2;à;6.639.694,00;7;à;632.351,00;367;à;18.091,00;20.081;à;440;354.021;à;31;10;17;26;13;31;38;Zz:;25
So.;13.12.;4;18;19;23;26;31;Zz:;15;JP;;12.307.641,00;3;à;1.367.515,00;237;à;25.965,00;15.575;à;526;293.677;à;34;23;4;19;18;26;31;Zz:;15
So.;20.12.;3;15;19;24;25;27;Zz:;29;5;à;6.220.080,00;19;à;329.697,00;1.294;à;7.261,00;42.177;à;297;638.911;à;24;25;15;3;19;24;27;Zz:;29
So.;27.12.;9;17;26;32;33;35;Zz:;34;3;à;3.380.657,00;15;à;225.377,00;781;à;6.492,00;32.827;à;205;455.516;à;18;35;17;9;26;33;32;Zz:;34
So.;03.01.;8;21;27;28;42;45;Zz:;10;JP;;11.519.073,00;3;à;1.279.897,00;204;à;28.233,00;14.887;à;515;310.457;à;30;42;45;21;28;27;8;Zz:;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988 Lotto - Beträge in ATS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Zahlen in ;;;;;;;;Sechser;;;Fünfer + Zz;;;Fünfer;;;Vierer;;;Dreier;;;Zahlen in ;;;;;;;
 Datum;;aufsteigender Reihenfolge;;;;;;;;Anzahl    ;;Quote;Anzahl ;;Quote;Anzahl;;Quote;Anzahl;;Quote;Anzahl;;Quote;gezogener Reihenfolge;;;;;;;
So.;10.01.;7;18;22;30;34;40;Zz:;12;7;à;4.138.602,00;17;à;342.179,00;628;à;13.894,00;29.768;à;390;530.480;à;27;7;18;22;30;34;40;Zz:;12
So.;17.01.;1;3;5;22;23;37;Zz:;42;1;à;12.653.709,00;5;à;843.580,00;209;à;30.272,00;13.814;à;610;280.739;à;37;3;23;1;37;5;22;Zz:;42
So.;24.01.;1;14;16;24;29;34;Zz:;21;JP;;12.659.507,00;9;à;468.870,00;256;à;24.725,00;16.559;à;509;315.022;à;33;24;16;1;29;34;14;Zz:;21
So.;31.01.;5;12;25;36;40;41;Zz:;20;1;à;30.617.909,00;3;à;1.995.377,00;279;à;32.183,00;18.061;à;662;371.263;à;40;41;40;5;36;12;25;Zz:;20
So.;07.02.;9;18;29;35;37;41;Zz:;31;4;à;3.236.894,00;4;à;1.078.964,00;301;à;21.507,00;17.140;à;503;342.720;à;31;18;41;29;37;9;35;Zz:;31
So.;14.02.;1;10;18;28;35;45;Zz:;19;1;à;12.799.628,00;9;à;474.060,00;326;à;19.631,00;15.557;à;548;291.304;à;36;28;1;45;35;18;10;Zz:;19
So.;21.02.;13;17;20;36;38;42;Zz:;30;JP;;12.287.108,00;4;à;1.023.925,00;269;à;22.838,00;17.945;à;456;308.106;à;33;38;36;42;17;13;20;Zz:;30
So.;28.02.;4;7;17;18;31;37;Zz:;28;1;à;30.055.847,00;15;à;394.860,00;391;à;22.722,00;23.050;à;513;431.375;à;34;18;17;31;4;7;37;Zz:;28
So.;06.03.;12;24;25;31;36;37;Zz:;4;JP;;12.937.728,00;8;à;539.072,00;724;à;8.934,00;18.073;à;477;285.909;à;37;37;12;25;24;36;31;Zz:;4
So.;13.03.;3;20;26;35;36;37;Zz:;33;3;à;10.582.211,00;11;à;569.966,00;366;à;25.695,00;24.821;à;505;463.309;à;33;26;20;37;36;3;35;Zz:;33
So.;20.03.;3;19;21;29;31;44;Zz:;1;1;à;13.079.284,00;8;à;544.970,00;429;à;15.243,00;21.258;à;410;366.956;à;29;19;21;3;44;29;31;Zz:;1
So.;27.03.;2;8;23;29;30;31;Zz:;22;1;à;12.377.421,00;12;à;343.817,00;368;à;16.817,00;18.404;à;448;337.644;à;30;31;29;23;2;8;30;Zz:;22
So.;03.04.;3;4;12;14;31;44;Zz:;9;JP;;12.025.061,00;6;à;668.058,00;263;à;22.861,00;15.742;à;509;292.151;à;34;12;3;31;14;4;44;Zz:;9
So.;10.04.;2;8;13;15;21;23;Zz:;1;3;à;9.215.334,00;14;à;371.927,00;588;à;13.283,00;29.665;à;351;483.625;à;26;15;23;2;8;21;13;Zz:;1
So.;17.04.;3;20;26;27;41;42;Zz:;28;3;à;4.136.201,00;9;à;459.577,00;304;à;20.408,00;17.107;à;483;297.383;à;34;20;26;3;41;27;42;Zz:;28
So.;24.04.;4;15;22;26;28;30;Zz:;35;1;à;11.800.832,00;15;à;262.240,00;726;à;8.127,00;31.055;à;253;429.617;à;22;26;15;22;30;4;28;Zz:;35
So.;01.05.;12;22;26;35;37;45;Zz:;30;JP;;11.739.171,00;8;à;489.132,00;350;à;16.770,00;15.787;à;495;283.672;à;34;12;37;35;22;45;26;Zz:;30
So.;08.05.;13;16;20;31;32;40;Zz:;42;2;à;22.655.114,00;8;à;909.661,00;479;à;22.789,00;33.759;à;431;584.875;à;31;20;13;32;31;16;40;Zz:;42
So.;15.05.;4;24;27;32;33;35;Zz:;41;JP;;11.421.039,00;3;à;1.269.004,00;289;à;19.759,00;20.480;à;371;382.466;à;24;32;35;27;4;33;24;Zz:;41
So.;22.05.;7;16;17;26;29;36;Zz:;41;4;à;6.886.056,00;23;à;233.669,00;847;à;9.517,00;37.809;à;284;592.032;à;22;17;29;26;36;7;16;Zz:;41
So.;29.05.;8;12;20;30;33;38;Zz:;15;5;à;2.302.250,00;24;à;159.878,00;610;à;9.435,00;26.674;à;287;398.896;à;24;20;33;38;30;12;8;Zz:;15
So.;05.06.;4;7;10;20;31;43;Zz:;19;JP;;11.543.835,00;13;à;295.995,00;279;à;20.687,00;15.342;à;501;278.674;à;34;20;43;7;10;31;4;Zz:;19
So.;12.06.;2;14;15;25;26;39;Zz:;32;5;à;5.318.158,00;22;à;227.984,00;640;à;11.755,00;31.055;à;323;454.961;à;27;39;2;26;14;15;25;Zz:;32
So.;19.06.;2;4;7;10;27;28;Zz:;21;3;à;3.871.675,00;23;à;168.333,00;590;à;9.843,00;25.884;à;299;394.288;à;24;10;7;27;4;2;28;Zz:;21
So.;26.06.;15;25;34;41;44;45;Zz:;9;1;à;11.286.404,00;4;à;940.533,00;178;à;31.703,00;10.574;à;711;213.084;à;44;41;34;45;25;15;44;Zz:;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988 Lotto - Beträge in ATS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Zahlen in ;;;;;;;;Sechser;;;Fünfer + Zz;;;Fünfer;;;Vierer;;;Dreier;;;Zahlen in ;;;;;;;
