Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
01.01.;aufsteigend;5;8;19;23;36;39;ZZ;3;6er;               1;à;       5.100.702,70;5er + ZZ;               3;à;          61.706,10;5er;             184;à;           1.097,50;4er + ZZ;             439;à;             138,00;
01.01.;;;;;;;;;;4er;           8.076;à;              41,60;3er + ZZ;          11.291;à;              13,40;3er;         123.124;à;               4,90;ZZ;         376.940;à;               1,20;
05.01.;aufsteigend;3;5;12;27;36;44;ZZ;15;6er;JP;;         784.450,00;5er + ZZ;               3;à;          35.953,90;5er;             118;à;             997,10;4er + ZZ;             304;à;             116,10;
05.01.;;;;;;;;;;4er;           4.891;à;              40,00;3er + ZZ;           6.852;à;              12,80;3er;          76.648;à;               4,60;ZZ;         194.453;à;               1,20;
08.01.;aufsteigend;18;21;24;38;41;42;ZZ;4;6er;DJP;;       1.562.962,40;5er + ZZ;               2;à;          53.522,70;5er;              79;à;           1.478,10;4er + ZZ;             202;à;             173,40;
08.01.;;;;;;;;;;4er;           3.577;à;              54,40;3er + ZZ;           5.624;à;              15,50;3er;          61.259;à;               5,70;ZZ;         232.171;à;               1,20;
12.01.;aufsteigend;6;13;25;31;38;44;ZZ;32;6er;3JP;;       2.605.418,70;5er + ZZ;               3;à;          47.779,20;5er;             101;à;           1.548,20;4er + ZZ;             252;à;             186,10;
12.01.;;;;;;;;;;4er;           4.910;à;              53,00;3er + ZZ;           6.229;à;              18,80;3er;          82.953;à;               5,60;ZZ;         274.909;à;               1,20;
15.01.;aufsteigend;9;11;16;26;31;41;ZZ;34;6er;               1;à;       3.743.596,90;5er + ZZ;               3;à;          52.166,50;5er;             148;à;           1.153,50;4er + ZZ;             358;à;             143,00;
15.01.;;;;;;;;;;4er;           6.863;à;              41,40;3er + ZZ;           8.344;à;              15,30;3er;         102.111;à;               5,00;ZZ;         278.999;à;               1,20;
19.01.;aufsteigend;5;12;36;38;39;45;ZZ;22;6er;JP;;         739.149,00;5er + ZZ;JP;;         101.632,90;5er;              81;à;           1.368,70;4er + ZZ;             195;à;             170,50;
19.01.;;;;;;;;;;4er;           3.585;à;              51,50;3er + ZZ;           5.138;à;              16,10;3er;          59.766;à;               5,50;ZZ;         196.996;à;               1,20;
22.01.;aufsteigend;1;15;28;42;43;44;ZZ;12;6er;DJP;;       1.567.177,00;5er + ZZ;               1;à;         215.486,80;5er;              83;à;           1.496,40;4er + ZZ;             208;à;             179,10;
22.01.;;;;;;;;;;4er;           3.926;à;              52,70;3er + ZZ;           5.586;à;              16,60;3er;          67.694;à;               5,50;ZZ;         238.708;à;               1,20;
26.01.;aufsteigend;5;23;26;27;37;40;ZZ;4;6er;3JP;;       2.586.615,30;5er + ZZ;               3;à;          46.724,20;5er;             132;à;           1.158,40;4er + ZZ;             271;à;             169,20;
26.01.;;;;;;;;;;4er;           5.247;à;              48,50;3er + ZZ;           7.257;à;              15,80;3er;          89.052;à;               5,10;ZZ;         285.667;à;               1,20;
29.01.;aufsteigend;3;11;23;29;39;44;ZZ;28;6er;               2;à;       1.852.209,10;5er + ZZ;               6;à;          25.616,30;5er;             154;à;           1.088,70;4er + ZZ;             329;à;             152,80;
29.01.;;;;;;;;;;4er;           6.700;à;              41,70;3er + ZZ;           8.481;à;              14,80;3er;         104.265;à;               4,80;ZZ;         304.291;à;               1,20;
02.02.;aufsteigend;6;7;9;20;28;30;ZZ;40;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          26.303,30;5er;             127;à;             903,70;4er + ZZ;             305;à;             112,80;
02.02.;;;;;;;;;;4er;           5.830;à;              32,80;3er + ZZ;           6.512;à;              13,20;3er;          80.821;à;               4,20;ZZ;         178.397;à;               1,20;
05.02.;aufsteigend;8;17;33;36;38;44;ZZ;23;6er;JP;;         624.985,80;5er + ZZ;               1;à;          85.935,50;5er;              70;à;           1.339,20;4er + ZZ;             193;à;             145,70;
05.02.;;;;;;;;;;4er;           3.471;à;              45,00;3er + ZZ;           4.791;à;              14,60;3er;          53.759;à;               5,20;ZZ;         165.473;à;               1,20;
09.02.;aufsteigend;5;22;23;27;37;45;ZZ;25;6er;DJP;;       1.526.804,60;5er + ZZ;               4;à;          31.000,00;5er;              81;à;           1.670,00;4er + ZZ;             210;à;             193,20;
09.02.;;;;;;;;;;4er;           4.836;à;              46,60;3er + ZZ;           6.136;à;              16,50;3er;          79.353;à;               5,10;ZZ;         221.959;à;               1,20;
12.02.;aufsteigend;3;4;7;17;39;44;ZZ;33;6er;3JP;;       2.444.200,20;5er + ZZ;               4;à;          31.535,40;5er;             121;à;           1.137,20;4er + ZZ;             359;à;             114,90;
12.02.;;;;;;;;;;4er;           6.396;à;              35,80;3er + ZZ;           8.154;à;              12,60;3er;          93.010;à;               4,40;ZZ;         234.587;à;               1,20;
16.02.;aufsteigend;4;5;20;22;31;39;ZZ;38;6er;4JP;;       3.656.154,60;5er + ZZ;               1;à;         166.643,70;5er;             116;à;           1.567,10;4er + ZZ;             287;à;             190,00;
16.02.;;;;;;;;;;4er;           6.170;à;              49,10;3er + ZZ;           7.402;à;              18,40;3er;         106.355;à;               5,10;ZZ;         298.491;à;               1,20;
19.02.;aufsteigend;1;2;3;16;24;44;ZZ;12;6er;5JP;;       5.015.647,30;5er + ZZ;               5;à;          37.386,00;5er;             131;à;           1.556,60;4er + ZZ;             511;à;             119,70;
19.02.;;;;;;;;;;4er;           7.855;à;              43,20;3er + ZZ;          11.931;à;              12,80;3er;         121.140;à;               5,00;ZZ;         355.810;à;               1,20;
23.02.;aufsteigend;6;8;18;33;42;45;ZZ;29;6er;6JP;;       6.821.231,10;5er + ZZ;               3;à;          82.755,90;5er;             201;à;           1.347,40;4er + ZZ;             564;à;             144,00;
23.02.;;;;;;;;;;4er;          10.019;à;              45,00;3er + ZZ;          13.041;à;              15,50;3er;         159.184;à;               5,10;ZZ;         475.226;à;               1,20;
26.02.;aufsteigend;3;6;11;16;25;43;ZZ;1;6er;               3;à;       3.067.178,20;5er + ZZ;              11;à;          29.753,70;5er;             326;à;           1.095,20;4er + ZZ;             869;à;             123,20;
26.02.;;;;;;;;;;4er;          13.945;à;              42,60;3er + ZZ;          19.173;à;              13,90;3er;         218.999;à;               4,90;ZZ;         606.732;à;               1,20;
01.03.;aufsteigend;11;14;20;37;38;41;ZZ;13;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          26.397,20;5er;              61;à;           1.888,30;4er + ZZ;             180;à;             191,90;
01.03.;;;;;;;;;;4er;           3.463;à;              55,40;3er + ZZ;           4.422;à;              19,50;3er;          59.552;à;               5,80;ZZ;         216.655;à;               1,20;
04.03.;aufsteigend;4;10;12;31;34;44;ZZ;32;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          45.707,40;5er;              69;à;           1.445,20;4er + ZZ;             169;à;             177,00;
04.03.;;;;;;;;;;4er;           3.600;à;              46,10;3er + ZZ;           4.235;à;              17,60;3er;          59.487;à;               5,00;ZZ;         163.389;à;               1,20;
08.03.;aufsteigend;3;10;13;18;26;36;ZZ;9;6er;               2;à;         500.000,00;5er + ZZ;               4;à;          26.507,30;5er;             137;à;             844,20;4er + ZZ;             269;à;             128,90;
08.03.;;;;;;;;;;4er;           4.703;à;              40,90;3er + ZZ;           7.044;à;              12,30;3er;          72.480;à;               4,80;ZZ;         223.700;à;               1,20;
11.03.;aufsteigend;15;29;31;42;44;45;ZZ;10;6er;JP;;         653.046,80;5er + ZZ;               1;à;          89.793,90;5er;              66;à;           1.484,10;4er + ZZ;             172;à;             170,80;
11.03.;;;;;;;;;;4er;           2.956;à;              55,20;3er + ZZ;           4.240;à;              17,30;3er;          50.820;à;               5,80;ZZ;         202.050;à;               1,20;
13.03.;aufsteigend;2;14;26;30;38;39;ZZ;18;6er;DJP;;       1.464.858,70;5er + ZZ;               4;à;          27.906,00;5er;              81;à;           1.503,30;4er + ZZ;             254;à;             143,80;
13.03.;;;;;;;;;;4er;           4.151;à;              48,80;3er + ZZ;           5.428;à;              16,80;3er;          67.701;à;               5,40;ZZ;         206.402;à;               1,20;
15.03.;aufsteigend;4;16;17;20;25;43;ZZ;19;6er;3JP;;       2.157.961,20;5er + ZZ;               3;à;          31.767,20;5er;              76;à;           1.367,90;4er + ZZ;             162;à;             192,50;
15.03.;;;;;;;;;;4er;           3.540;à;              48,90;3er + ZZ;           4.659;à;              16,70;3er;          59.148;à;               5,30;ZZ;         192.570;à;               1,20;
18.03.;aufsteigend;5;9;20;21;26;42;ZZ;27;6er;               1;à;       2.931.988,60;5er + ZZ;JP;;         106.428,70;5er;              89;à;           1.304,50;4er + ZZ;             217;à;             160,50;
18.03.;;;;;;;;;;4er;           4.209;à;              45,90;3er + ZZ;           6.121;à;              14,20;3er;          71.810;à;               4,80;ZZ;         216.563;à;               1,20;
22.03.;aufsteigend;4;9;12;17;32;43;ZZ;38;6er;JP;;         595.369,40;5er + ZZ;DJP;;         188.292,00;5er;              77;à;           1.159,80;4er + ZZ;             174;à;             153,90;
22.03.;;;;;;;;;;4er;           3.416;à;              43,50;3er + ZZ;           3.834;à;              17,40;3er;          57.412;à;               4,60;ZZ;         137.803;à;               1,20;
25.03.;aufsteigend;5;26;30;31;32;33;ZZ;6;6er;DJP;;       1.242.615,00;5er + ZZ;               1;à;         277.288,30;5er;              54;à;           1.797,90;4er + ZZ;             150;à;             194,10;
25.03.;;;;;;;;;;4er;           3.274;à;              49,40;3er + ZZ;           4.155;à;              17,50;3er;          53.000;à;               5,50;ZZ;         187.478;à;               1,20;
29.03.;aufsteigend;3;4;6;30;36;39;ZZ;5;6er;               1;à;       2.064.553,80;5er + ZZ;JP;;         113.016,50;5er;              91;à;           1.354,80;4er + ZZ;             195;à;             189,60;
29.03.;;;;;;;;;;4er;           4.146;à;              49,50;3er + ZZ;           7.458;à;              12,30;3er;          71.646;à;               5,10;ZZ;         238.229;à;               1,20;
01.04.;aufsteigend;1;11;15;22;26;36;ZZ;25;6er;JP;;         549.182,40;5er + ZZ;               3;à;          62.843,00;5er;              68;à;           1.211,40;4er + ZZ;             156;à;             158,40;
