Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
01.04.;;;;;;;;;;4er;           3.793;à;              36,10;3er + ZZ;           3.678;à;              16,70;3er;          50.130;à;               4,90;ZZ;         131.724;à;               1,20;
05.04.;aufsteigend;12;23;28;33;40;41;ZZ;11;6er;DJP;;       1.324.207,60;5er + ZZ;JP;;         106.565,90;5er;              66;à;           1.761,40;4er + ZZ;             211;à;             165,20;
05.04.;;;;;;;;;;4er;           4.070;à;              47,60;3er + ZZ;           5.592;à;              15,50;3er;          66.915;à;               5,20;ZZ;         224.535;à;               1,20;
08.04.;aufsteigend;1;4;6;15;18;32;ZZ;9;6er;3JP;;       2.114.184,40;5er + ZZ;DJP;;         215.187,70;5er;             103;à;           1.150,40;4er + ZZ;             286;à;             124,20;
08.04.;;;;;;;;;;4er;           4.207;à;              46,90;3er + ZZ;           7.239;à;              12,20;3er;          71.364;à;               5,00;ZZ;         223.670;à;               1,20;
12.04.;aufsteigend;13;20;26;41;43;45;ZZ;17;6er;4JP;;       3.175.585,80;5er + ZZ;               2;à;         180.565,20;5er;             102;à;           1.560,80;4er + ZZ;             279;à;             171,10;
12.04.;;;;;;;;;;4er;           4.999;à;              53,00;3er + ZZ;           7.479;à;              15,90;3er;          86.049;à;               5,50;ZZ;         297.132;à;               1,20;
15.04.;aufsteigend;2;5;11;41;43;44;ZZ;38;6er;5JP;;       4.229.588,00;5er + ZZ;               3;à;          48.308,40;5er;             129;à;           1.225,50;4er + ZZ;             262;à;             181,00;
15.04.;;;;;;;;;;4er;           5.386;à;              48,90;3er + ZZ;           6.945;à;              17,00;3er;          92.620;à;               5,10;ZZ;         256.378;à;               1,20;
19.04.;aufsteigend;2;10;12;33;35;39;ZZ;38;6er;6JP;;       5.745.440,30;5er + ZZ;               3;à;          69.476,50;5er;             188;à;           1.209,40;4er + ZZ;             383;à;             178,10;
19.04.;;;;;;;;;;4er;           8.373;à;              45,20;3er + ZZ;          10.220;à;              16,60;3er;         135.487;à;               5,00;ZZ;         372.551;à;               1,20;
22.04.;aufsteigend;3;11;12;23;28;38;ZZ;2;6er;               1;à;       7.749.269,60;5er + ZZ;               4;à;          68.881,60;5er;             252;à;           1.192,70;4er + ZZ;             698;à;             129,10;
22.04.;;;;;;;;;;4er;          12.409;à;              40,30;3er + ZZ;          16.670;à;              13,50;3er;         191.784;à;               4,70;ZZ;         517.503;à;               1,20;
26.04.;aufsteigend;8;16;23;25;26;28;ZZ;11;6er;JP;;         716.603,10;5er + ZZ;               5;à;          19.706,50;5er;              75;à;           1.433,20;4er + ZZ;             281;à;             114,70;
26.04.;;;;;;;;;;4er;           4.204;à;              42,60;3er + ZZ;           6.714;à;              12,00;3er;          67.128;à;               4,80;ZZ;         198.859;à;               1,20;
29.04.;aufsteigend;11;15;16;18;29;34;ZZ;13;6er;DJP;;       1.517.829,50;5er + ZZ;               3;à;          36.722,80;5er;              85;à;           1.413,90;4er + ZZ;             194;à;             185,80;
29.04.;;;;;;;;;;4er;           4.065;à;              49,20;3er + ZZ;           5.332;à;              16,90;3er;          67.539;à;               5,30;ZZ;         218.792;à;               1,20;
03.05.;aufsteigend;10;14;21;32;34;45;ZZ;11;6er;               2;à;       1.260.846,90;5er + ZZ;               3;à;          46.010,40;5er;             142;à;           1.060,40;4er + ZZ;             261;à;             173,00;
03.05.;;;;;;;;;;4er;           5.704;à;              43,90;3er + ZZ;           7.135;à;              15,80;3er;          86.870;à;               5,20;ZZ;         297.339;à;               1,20;
06.05.;aufsteigend;4;8;26;27;28;44;ZZ;12;6er;JP;;         656.525,00;5er + ZZ;               4;à;          22.568,00;5er;              81;à;           1.215,70;4er + ZZ;             286;à;             103,20;
06.05.;;;;;;;;;;4er;           3.933;à;              41,70;3er + ZZ;           6.581;à;              11,20;3er;          63.165;à;               4,70;ZZ;         175.312;à;               1,20;
10.05.;aufsteigend;7;13;27;31;32;44;ZZ;10;6er;               1;à;       1.585.772,90;5er + ZZ;               2;à;          63.885,70;5er;             116;à;           1.201,60;4er + ZZ;             284;à;             147,20;
10.05.;;;;;;;;;;4er;           4.828;à;              48,10;3er + ZZ;           6.999;à;              14,90;3er;          81.611;à;               5,10;ZZ;         268.125;à;               1,20;
13.05.;aufsteigend;4;18;19;21;25;36;ZZ;2;6er;JP;;         641.993,00;5er + ZZ;               2;à;          44.137,00;5er;              78;à;           1.234,60;4er + ZZ;             222;à;             130,10;
13.05.;;;;;;;;;;4er;           3.256;à;              49,20;3er + ZZ;           4.741;à;              15,20;3er;          52.326;à;               5,50;ZZ;         176.038;à;               1,20;
17.05.;aufsteigend;3;7;11;18;22;34;ZZ;35;6er;               1;à;       1.563.365,00;5er + ZZ;JP;;         126.688,60;5er;             126;à;           1.096,80;4er + ZZ;             231;à;             179,40;
17.05.;;;;;;;;;;4er;           5.960;à;              38,60;3er + ZZ;           6.437;à;              16,10;3er;          91.513;à;               4,50;ZZ;         222.728;à;               1,20;
20.05.;aufsteigend;4;13;14;24;27;31;ZZ;22;6er;               1;à;       1.000.000,00;5er + ZZ;               6;à;          35.947,20;5er;              95;à;           1.021,90;4er + ZZ;             181;à;             160,90;
20.05.;;;;;;;;;;4er;           3.629;à;              44,50;3er + ZZ;           4.819;à;              15,10;3er;          57.982;à;               5,00;ZZ;         171.128;à;               1,20;
24.05.;aufsteigend;12;16;18;25;28;34;ZZ;45;6er;JP;;         692.452,70;5er + ZZ;               1;à;          95.212,20;5er;              71;à;           1.462,90;4er + ZZ;             136;à;             229,10;
24.05.;;;;;;;;;;4er;           3.637;à;              47,50;3er + ZZ;           4.437;à;              17,50;3er;          59.779;à;               5,20;ZZ;         176.316;à;               1,20;
27.05.;aufsteigend;12;20;28;37;40;42;ZZ;1;6er;DJP;;       1.474.774,10;5er + ZZ;               1;à;         107.569,10;5er;              78;à;           1.504,40;4er + ZZ;             249;à;             141,30;
27.05.;;;;;;;;;;4er;           4.087;à;              47,80;3er + ZZ;           5.674;à;              15,50;3er;          65.010;à;               5,40;ZZ;         218.698;à;               1,20;
31.05.;aufsteigend;21;25;26;28;34;40;ZZ;17;6er;               1;à;       2.524.333,70;5er + ZZ;               3;à;          48.104,80;5er;             103;à;           1.528,40;4er + ZZ;             283;à;             166,80;
31.05.;;;;;;;;;;4er;           5.080;à;              51,60;3er + ZZ;           7.737;à;              15,20;3er;          86.437;à;               5,40;ZZ;         293.161;à;               1,20;
03.06.;aufsteigend;4;9;10;13;18;31;ZZ;36;6er;               2;à;         500.000,00;5er + ZZ;               5;à;          16.867,60;5er;              81;à;           1.135,80;4er + ZZ;             186;à;             148,30;
03.06.;;;;;;;;;;4er;           3.977;à;              38,50;3er + ZZ;           4.107;à;              16,80;3er;          59.799;à;               4,60;ZZ;         143.931;à;               1,20;
07.06.;aufsteigend;1;12;20;36;41;42;ZZ;22;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          25.477,40;5er;              76;à;           1.462,80;4er + ZZ;             186;à;             179,30;
07.06.;;;;;;;;;;4er;           3.601;à;              51,40;3er + ZZ;           4.901;à;              17,00;3er;          57.748;à;               5,80;ZZ;         199.077;à;               1,20;
10.06.;aufsteigend;8;11;18;24;27;37;ZZ;45;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          44.234,80;5er;              89;à;           1.084,40;4er + ZZ;             183;à;             158,20;
10.06.;;;;;;;;;;4er;           3.627;à;              44,30;3er + ZZ;           4.353;à;              16,60;3er;          59.332;à;               4,90;ZZ;         162.952;à;               1,20;
14.06.;aufsteigend;9;12;17;20;28;45;ZZ;5;6er;JP;;         695.661,10;5er + ZZ;               6;à;          15.942,20;5er;             113;à;             923,40;4er + ZZ;             299;à;             104,60;
14.06.;;;;;;;;;;4er;           4.610;à;              37,70;3er + ZZ;           6.923;à;              11,30;3er;          66.743;à;               4,70;ZZ;         193.599;à;               1,20;
17.06.;aufsteigend;3;11;12;16;28;39;ZZ;43;6er;               1;à;       1.499.154,40;5er + ZZ;               3;à;          36.826,70;5er;             137;à;             879,70;4er + ZZ;             286;à;             126,40;
17.06.;;;;;;;;;;4er;           5.510;à;              36,40;3er + ZZ;           6.770;à;              13,30;3er;          82.004;à;               4,40;ZZ;         191.724;à;               1,20;
19.06.;aufsteigend;1;7;13;39;44;45;ZZ;9;6er;JP;;         625.001,70;5er + ZZ;               1;à;          85.937,70;5er;             105;à;             892,80;4er + ZZ;             206;à;             136,50;
19.06.;;;;;;;;;;4er;           3.532;à;              44,20;3er + ZZ;           5.169;à;              13,60;3er;          55.535;à;               5,00;ZZ;         183.639;à;               1,20;
21.06.;aufsteigend;4;15;30;35;38;45;ZZ;42;6er;DJP;;       1.272.298,20;5er + ZZ;JP;;          89.003,20;5er;              87;à;           1.116,00;4er + ZZ;             174;à;             167,40;
21.06.;;;;;;;;;;4er;           3.321;à;              48,70;3er + ZZ;           3.984;à;              18,20;3er;          53.067;à;               5,50;ZZ;         158.280;à;               1,20;
24.06.;aufsteigend;10;17;18;25;29;36;ZZ;37;6er;3JP;;       2.134.106,20;5er + ZZ;DJP;;         207.501,80;5er;              79;à;           1.636,30;4er + ZZ;             199;à;             194,80;
24.06.;;;;;;;;;;4er;           4.347;à;              49,50;3er + ZZ;           5.315;à;              18,20;3er;          73.101;à;               5,30;ZZ;         198.860;à;               1,20;
28.06.;aufsteigend;10;16;28;31;36;37;ZZ;33;6er;               2;à;       1.641.680,80;5er + ZZ;               2;à;         182.762,20;5er;             123;à;           1.401,50;4er + ZZ;             279;à;             185,30;
28.06.;;;;;;;;;;4er;           5.564;à;              51,60;3er + ZZ;           7.950;à;              16,20;3er;          93.456;à;               5,50;ZZ;         318.283;à;               1,20;
01.07.;aufsteigend;1;3;15;22;27;32;ZZ;23;6er;JP;;         630.374,50;5er + ZZ;               1;à;          86.676,40;5er;             102;à;             927,00;4er + ZZ;             178;à;             159,30;
01.07.;;;;;;;;;;4er;           3.895;à;              40,40;3er + ZZ;           5.024;à;              14,10;3er;          60.994;à;               4,60;ZZ;         160.617;à;               1,20;
05.07.;aufsteigend;1;3;5;6;35;42;ZZ;9;6er;               1;à;       1.529.890,70;5er + ZZ;               3;à;          41.227,80;5er;              92;à;           1.466,60;4er + ZZ;             370;à;             109,40;
05.07.;;;;;;;;;;4er;           6.027;à;              37,30;3er + ZZ;           8.617;à;              11,70;3er;          81.534;à;               4,90;ZZ;         248.080;à;               1,20;
08.07.;aufsteigend;4;16;26;31;34;40;ZZ;42;6er;JP;;         623.688,10;5er + ZZ;               1;à;          85.757,10;5er;              82;à;           1.140,80;4er + ZZ;             166;à;             169,00;
08.07.;;;;;;;;;;4er;           3.477;à;              44,80;3er + ZZ;           4.115;à;              17,00;3er;          54.176;à;               5,20;ZZ;         151.079;à;               1,20;
12.07.;aufsteigend;8;17;18;33;42;45;ZZ;32;6er;DJP;;       1.501.733,40;5er + ZZ;               2;à;          60.365,60;5er;             120;à;           1.097,50;4er + ZZ;             244;à;             161,90;
12.07.;;;;;;;;;;4er;           4.849;à;              45,20;3er + ZZ;           6.045;à;              16,30;3er;          76.835;à;               5,10;ZZ;         213.083;à;               1,20;
15.07.;aufsteigend;11;15;18;21;32;44;ZZ;31;6er;3JP;;       2.431.972,80;5er + ZZ;               4;à;          31.976,90;5er;              86;à;           1.622,50;4er + ZZ;             233;à;             179,60;
15.07.;;;;;;;;;;4er;           4.658;à;              49,90;3er + ZZ;           6.033;à;              17,30;3er;          79.528;à;               5,20;ZZ;         228.143;à;               1,20;
19.07.;aufsteigend;4;11;16;32;41;45;ZZ;21;6er;4JP;;       3.661.597,20;5er + ZZ;               5;à;          33.814,60;5er;             146;à;           1.263,30;4er + ZZ;             421;à;             131,40;
19.07.;;;;;;;;;;4er;           6.443;à;              47,70;3er + ZZ;           9.939;à;              13,90;3er;         105.189;à;               5,20;ZZ;         327.882;à;               1,20;
22.07.;aufsteigend;3;6;9;22;24;38;ZZ;20;6er;               1;à;       5.014.263,60;5er + ZZ;               2;à;          92.995,80;5er;             210;à;             966,10;4er + ZZ;             439;à;             138,60;
22.07.;;;;;;;;;;4er;           8.430;à;              40,10;3er + ZZ;          10.838;à;              14,00;3er;         129.778;à;               4,70;ZZ;         344.227;à;               1,20;
26.07.;aufsteigend;1;3;7;26;27;35;ZZ;21;6er;JP;;         739.483,40;5er + ZZ;               2;à;          50.839,40;5er;             100;à;           1.109,20;4er + ZZ;             251;à;             132,50;
26.07.;;;;;;;;;;4er;           4.794;à;              38,50;3er + ZZ;           6.598;à;              12,60;3er;          77.291;à;               4,30;ZZ;         188.738;à;               1,20;
29.07.;aufsteigend;23;24;31;35;36;42;ZZ;14;6er;               1;à;       1.519.795,70;5er + ZZ;               1;à;         107.292,90;5er;              73;à;           1.603,30;4er + ZZ;             178;à;             197,20;
29.07.;;;;;;;;;;4er;           3.325;à;              58,60;3er + ZZ;           4.908;à;              17,80;3er;          59.066;à;               5,90;ZZ;         206.786;à;               1,20;
02.08.;aufsteigend;16;17;18;23;26;44;ZZ;34;6er;JP;;         724.383,20;5er + ZZ;               2;à;          49.801,30;5er;              72;à;           1.509,10;4er + ZZ;             223;à;             146,10;
02.08.;;;;;;;;;;4er;           3.511;à;              51,50;3er + ZZ;           5.270;à;              15,40;3er;          60.708;à;               5,30;ZZ;         167.866;à;               1,20;
05.08.;aufsteigend;3;30;32;34;37;39;ZZ;18;6er;DJP;;       1.543.694,00;5er + ZZ;               1;à;         112.655,20;5er;             118;à;           1.041,40;4er + ZZ;             202;à;             182,50;
05.08.;;;;;;;;;;4er;           4.141;à;              49,40;3er + ZZ;           4.963;à;              18,50;3er;          64.913;à;               5,70;ZZ;         211.357;à;               1,20;
09.08.;aufsteigend;3;4;17;23;25;32;ZZ;36;6er;3JP;;       2.551.483,70;5er + ZZ;               3;à;          46.190,30;5er;              98;à;           1.542,50;4er + ZZ;             248;à;             182,80;
09.08.;;;;;;;;;;4er;           5.518;à;              45,60;3er + ZZ;           6.978;à;              16,20;3er;          91.295;à;               4,90;ZZ;         242.672;à;               1,20;
12.08.;aufsteigend;1;16;18;23;27;45;ZZ;15;6er;4JP;;       3.651.416,90;5er + ZZ;               6;à;          25.206,80;5er;             115;à;           1.434,60;4er + ZZ;             319;à;             155,10;
12.08.;;;;;;;;;;4er;           6.026;à;              45,60;3er + ZZ;           7.948;à;              15,50;3er;          97.293;à;               5,10;ZZ;         286.878;à;               1,20;
16.08.;aufsteigend;5;26;31;32;37;41;ZZ;23;6er;               2;à;       2.500.168,00;5er + ZZ;               1;à;         185.476,30;5er;             152;à;           1.331,10;4er + ZZ;             360;à;             168,60;
16.08.;;;;;;;;;;4er;           6.336;à;              53,20;3er + ZZ;           9.547;à;              15,80;3er;         106.180;à;               5,70;ZZ;         359.460;à;               1,20;
19.08.;aufsteigend;5;9;15;33;34;42;ZZ;38;6er;JP;;         652.750,50;5er + ZZ;               1;à;          89.753,10;5er;              70;à;           1.398,70;4er + ZZ;             180;à;             163,10;
19.08.;;;;;;;;;;4er;           3.449;à;              47,30;3er + ZZ;           4.403;à;              16,60;3er;          58.518;à;               5,00;ZZ;         149.287;à;               1,20;
23.08.;aufsteigend;3;12;19;26;32;40;ZZ;24;6er;               1;à;       1.539.386,30;5er + ZZ;               2;à;          60.956,20;5er;             164;à;             810,90;4er + ZZ;             295;à;             135,20;
23.08.;;;;;;;;;;4er;           5.792;à;              38,20;3er + ZZ;           7.155;à;              13,90;3er;          80.957;à;               4,90;ZZ;         218.141;à;               1,20;
26.08.;aufsteigend;3;4;8;14;31;38;ZZ;13;6er;JP;;         614.156,80;5er + ZZ;               2;à;          42.223,20;5er;              65;à;           1.417,20;4er + ZZ;             167;à;             165,40;
26.08.;;;;;;;;;;4er;           3.224;à;              47,60;3er + ZZ;           4.444;à;              15,50;3er;          55.711;à;               4,90;ZZ;         158.874;à;               1,20;
30.08.;aufsteigend;17;22;27;35;36;39;ZZ;21;6er;               1;à;       1.507.513,30;5er + ZZ;               5;à;          24.567,30;5er;             124;à;           1.080,60;4er + ZZ;             273;à;             147,20;
30.08.;;;;;;;;;;4er;           5.160;à;              43,20;3er + ZZ;           6.502;à;              15,40;3er;          81.147;à;               4,90;ZZ;         245.194;à;               1,20;
02.09.;aufsteigend;11;21;34;37;40;43;ZZ;19;6er;JP;;         650.112,50;5er + ZZ;               2;à;          44.695,20;5er;              55;à;           1.773,00;4er + ZZ;             188;à;             155,60;
02.09.;;;;;;;;;;4er;           3.282;à;              49,50;3er + ZZ;           4.211;à;              17,30;3er;          52.121;à;               5,60;ZZ;         183.928;à;               1,20;
06.09.;aufsteigend;4;11;15;34;36;39;ZZ;44;6er;DJP;;       1.555.863,00;5er + ZZ;               4;à;          31.135,10;5er;              95;à;           1.430,10;4er + ZZ;             227;à;             179,50;
06.09.;;;;;;;;;;4er;           4.604;à;              49,10;3er + ZZ;           6.301;à;              16,10;3er;          76.571;à;               5,30;ZZ;         223.657;à;               1,20;
