1,19,38,53,58,71
2,6,9,35,79,85
3,13,24,34,45,59
4,27,50,65,67,83
5,25,40,48,68,82
6,2,4,44,48,73
7,2,43,72,74,82
8,28,37,53,68,84
9,10,32,40,70,82
10,8,15,20,32,34
11,20,51,54,59,86
12,11,36,39,68,84
13,16,25,32,72,85
14,20,58,72,80,90
15,5,32,36,48,61
16,2,4,43,53,70
17,5,39,51,83,84
18,5,20,37,75,78
19,8,27,60,71,75
20,4,18,39,41,54
21,5,21,32,38,81
22,16,30,32,58,79
23,15,35,37,46,72
24,2,3,22,42,55
25,4,8,12,40,44
26,1,7,39,40,58
27,18,33,36,48,60
28,12,22,24,49,65
29,3,16,21,43,60
30,7,15,19,33,71
31,7,10,33,34,78
32,15,31,60,67,76
33,12,19,32,47,59
34,5,17,31,61,68
35,18,41,42,48,52
36,24,38,50,75,76
37,12,19,20,34,36
38,49,51,54,62,83
39,30,45,56,62,71
40,11,35,44,47,77
41,1,36,42,57,79
42,7,27,30,34,68
43,12,22,26,27,31
44,4,19,30,58,71
45,14,36,38,45,55
46,16,19,31,41,61
47,12,24,33,75,90
48,3,15,40,46,55
49,9,53,57,70,72
50,2,30,41,45,88
51,41,54,64,81,83
52,1,25,35,43,49
53,9,40,57,70,90
54,4,8,10,55,66
55,11,21,22,31,73
56,27,50,73,74,84
57,4,11,14,40,44
58,21,47,52,72,90
59,13,25,33,37,90
60,30,33,36,66,87
61,20,42,61,63,81
62,6,50,57,65,76
63,11,15,16,42,48
64,4,6,15,32,83
65,21,49,53,59,79
66,3,17,36,66,80
67,6,25,47,55,86
68,5,31,34,42,63
69,2,13,33,60,62
70,5,12,33,56,64
71,4,17,52,56,71
72,42,48,53,57,64
73,13,22,27,32,35
74,25,52,72,76,90
75,4,29,65,69,79
76,6,12,54,64,74
77,5,14,24,34,79
78,22,49,64,73,86
79,6,15,30,65,72
80,17,25,30,31,48
81,9,20,64,70,76
82,51,54,57,74,89
83,15,36,50,55,65
84,16,32,49,73,77
85,3,13,30,32,38
86,28,43,45,47,62
87,7,51,55,59,86
88,10,37,42,56,74
89,16,37,38,41,69
90,29,63,71,75,77
91,27,34,38,51,62
92,1,11,37,49,75
93,1,16,29,30,58
94,5,27,41,49,63
95,49,70,75,78,79
96,5,13,16,81,87
97,9,32,47,72,81
98,21,49,50,58,84
99,8,21,57,77,80
