1,3,24,33,39,40
3,5,10,17,35,41
4,6,19,25,39,42
3,13,25,26,27,40
9,11,17,28,34,45
28,31,32,37,42,45
1,11,12,15,27,38
4,12,24,32,36,38
6,38,39,41,42,43
14,25,34,36,38,42
8,10,17,22,35,37
9,12,24,26,31,33
2,6,16,21,24,37
4,5,35,41,43,45
23,24,31,38,41,45
5,9,18,22,28,33
14,17,27,32,37,43
2,10,14,32,35,43
2,5,16,19,26,29
2,3,7,26,27,31
11,14,17,23,32,44
3,10,20,37,43,44
5,11,19,27,32,42
5,11,20,22,29,34
10,13,20,23,39,44
3,11,17,33,34,43
5,7,29,36,37,43
14,19,21,29,34,35
9,10,14,24,31,33
17,20,24,25,29,30
5,6,16,18,23,45
10,15,20,27,42,44
1,5,11,18,21,25
7,9,18,20,28,34
7,13,17,37,38,39
1,2,9,10,18,29
2,3,7,9,40,44
4,14,15,27,33,35
7,8,10,18,36,38
1,14,18,24,38,44
13,14,16,32,35,36
4,5,12,16,26,40
10,13,18,30,39,45
4,20,22,24,27,29
4,5,8,18,29,34
6,8,23,28,32,44
4,5,14,17,32,33
5,14,20,24,27,42
5,10,17,27,31,42
4,5,17,21,27,42
3,5,25,27,28,40
12,22,23,26,32,34
18,20,32,34,40,45
20,26,27,28,29,41
3,9,23,28,39,42
7,25,31,32,37,41
7,8,13,14,19,43
10,21,26,35,40,45
7,11,19,27,41,45
10,13,20,27,33,35
1,6,7,13,17,37
11,14,15,18,25,32
5,13,25,26,37,40
4,17,27,32,39,45
15,16,18,23,25,35
6,10,18,21,32,33
8,26,35,39,40,45
4,6,8,13,19,27
3,11,24,27,29,45
1,2,13,18,22,42
11,18,30,31,44,45
12,17,26,27,43,44
9,16,20,21,33,37
1,4,7,17,36,38
3,4,6,12,40,43
3,15,21,22,29,32
11,13,15,16,38,39
9,11,13,14,37,38
9,11,12,14,24,26
4,6,7,17,18,38
20,29,30,40,44,45
3,7,16,25,39,45
3,4,8,18,27,34
4,8,17,18,38,44
5,6,8,16,22,42
3,4,17,22,27,41
1,17,20,32,35,36
6,8,11,17,21,33
4,10,17,28,42,44
10,12,23,26,32,40
24,27,29,32,35,45
3,9,24,38,39,42
1,4,5,13,16,20
7,10,21,22,40,43
4,7,8,19,23,42
4,5,10,36,42,45
16,20,24,27,30,39
4,5,11,22,41,44
7,13,23,33,35,40
2,5,7,12,25,32
4,5,15,28,42,43
1,8,13,23,30,40
10,13,23,34,37,40
6,11,16,29,44,45
7,12,28,31,35,40
9,12,17,30,31,43
5,8,9,19,25,37
8,13,19,20,26,45
11,14,18,42,44,45
3,17,27,30,40,41
1,3,8,28,37,38
3,6,19,41,43,45
5,20,21,28,33,35
22,27,30,39,41,42
8,10,15,18,19,33
3,15,24,29,40,45
8,14,18,29,40,42
13,24,29,33,38,45
6,15,22,38,43,45
2,11,23,25,27,42
1,10,11,30,34,41
7,14,18,20,41,43
4,5,19,27,36,41
3,6,8,24,26,27
3,21,24,29,34,42
3,11,22,23,24,28
6,16,29,31,33,39
5,29,38,41,43,45
6,8,21,22,25,45
1,5,13,24,32,38
5,7,12,13,14,42
7,9,18,21,34,40
5,8,10,20,24,28
2,12,14,29,42,45
2,5,9,24,26,35
1,25,33,34,38,43
2,3,10,15,40,43
4,9,19,21,43,45
2,7,13,26,29,42
2,15,17,18,19,23
7,17,20,28,35,41
5,8,9,13,38,42
9,20,25,26,32,42
1,6,17,19,21,32
17,24,26,29,30,35
6,12,19,23,25,26
6,24,27,41,42,45
9,10,16,21,28,31
7,12,20,24,36,38
1,14,17,18,26,37
10,14,22,30,31,36
